name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Stan Wawrinka,479,307,488,173,51,5179,3376,5381,2095,457,4243,2703,4183,1620,279,Roger Federer,1718,1238,1848,683,191,7615,5268,8008,3100,700,3126,2136,3323,1304,267,0,0,0
Rafael Nadal,754,512,801,309,50,5610,3709,5805,2309,228,4097,2720,4331,2006,150,Jarkko Nieminen,693,461,749,253,33,4464,2694,4319,1574,189,2134,1238,2027,752,56,0,0,0
Tomas Berdych,817,578,892,353,119,8204,5489,8364,3154,858,2760,1792,2665,1013,221,Grigor Dimitrov,1289,857,1320,461,135,4830,3125,4734,1612,486,2000,1244,2005,754,129,0,0,0
Roberto Bautista Agut,200,126,188,74,2,1431,843,1456,566,27,492,268,474,211,4,Lukasz Kubot,414,268,467,186,28,1270,734,1166,413,87,1156,652,1051,370,41,0,0,0
Santiago Giraldo,700,444,669,204,39,3331,2022,3057,1005,138,2500,1526,2349,909,91,Andy Murray,1854,1291,1894,760,243,6141,3997,6331,2707,532,1938,1145,1996,872,103,0,0,0
Kei Nishikori,1092,678,1171,448,34,6152,3791,6315,2456,221,1738,1085,1775,721,32,Milos Raonic,1052,777,1134,336,213,6425,4619,6745,2240,1361,1962,1325,1990,697,270,0,0,0
Feliciano Lopez,384,275,352,96,76,226,139,184,62,15,416,285,444,171,49,Dominic Thiem,0,0,0,0,0,432,269,387,127,30,230,147,220,74,11,0,0,0
David Ferrer,1146,782,1219,436,67,7816,4981,8045,3277,370,4071,2587,4138,1761,136,John Isner,1304,996,1448,473,287,7864,5523,7941,2458,1413,2422,1652,2346,705,283,0,0,0
Ernests Gulbis,661,463,623,169,123,3792,2427,3688,1298,427,1517,953,1446,531,144,Marin Cilic,1079,738,1084,383,114,4078,2650,4268,1598,386,2087,1330,2084,803,148,0,0,0
Rafael Nadal,1141,773,1201,440,82,5825,3864,6120,2461,244,5376,3626,5763,2661,190,Tomas Berdych,1019,720,1088,361,109,7930,5303,8004,3036,814,2860,1845,2819,1128,219,0,0,0
