name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Elena Rybakina,1019,625,1046,440,87,5378,3301,5352,2262,399,2112,1279,2093,967,110
Naomi Osaka,217,119,205,86,14,5044,3247,4974,2141,512,1161,691,1273,557,102
Belinda Bencic,1367,846,1368,572,80,6394,3805,6522,2825,312,1875,1107,1824,782,64
Daria Saville,204,110,223,90,2,1049,541,1089,488,16,849,482,835,334,14
Petra Kvitova,657,416,698,303,43,5841,3615,6074,2700,396,1932,1210,2086,918,125
Jil Teichmann,141,75,133,48,5,4051,2353,4012,1726,154,2112,1186,2112,1012,46
Ekaterina Alexandrova,889,536,939,405,98,6813,4057,7041,3108,519,1764,972,1749,798,89
Anhelina Kalinina,0,0,0,0,0,906,477,955,441,26,677,364,699,326,8
Sara Sorribes Tormo,701,381,725,321,12,4272,2242,4215,1998,26,2441,1241,2360,1159,10
Amanda Anisimova,700,396,716,317,14,3152,1820,3175,1425,85,2116,1190,2102,1004,46
Bianca Andreescu,269,142,271,107,3,4755,2844,4915,2225,174,449,267,455,225,17
Daria Kasatkina,899,482,855,410,21,5113,2760,5360,2448,112,1673,883,1768,875,30
Martina Trevisan,150,76,122,43,2,1119,566,948,390,14,1213,613,1158,539,3
Leylah Fernandez,224,133,195,72,9,3298,1939,3190,1340,89,716,372,728,353,8
Sloane Stephens,464,269,470,218,12,3961,2189,3933,1636,83,2447,1389,2501,1136,37
Ajla Tomljanovic,1084,635,1043,428,61,5314,3009,5400,2349,228,1897,1033,1950,875,71
Marie Bouzkova,428,251,433,184,10,3899,2225,3997,1700,102,830,431,778,345,18
Tatjana Maria,426,242,407,171,21,1977,1076,1930,781,107,517,271,522,211,28
Jule Niemeier,101,64,88,29,12,139,66,133,53,13,1237,742,1261,538,102
Beatriz Haddad Maia,171,102,155,62,10,701,400,683,300,17,881,506,931,398,23
Karolina Pliskova,1307,863,1407,602,157,6862,4213,6759,2907,651,2191,1315,2218,968,180
Qinwen Zheng,0,0,0,0,0,132,75,114,31,11,129,74,117,49,5
Yulia Putintseva,486,283,489,212,16,6549,3753,6674,2974,127,2740,1502,2800,1316,40
Caroline Garcia,908,544,856,340,66,4793,2764,4646,1842,250,2792,1655,2760,1146,128
Shuai Zhang,1111,646,1130,496,28,4289,2425,4314,1845,140,1773,940,1672,723,30
Victoria Azarenka,863,511,841,386,46,4444,2542,4599,2226,199,1603,904,1675,788,53
Anna Kalinskaya,262,140,250,87,5,2622,1470,2620,1069,54,349,169,349,154,6
Elise Mertens,1118,671,1198,533,56,7363,4316,7504,3478,385,2698,1554,3013,1387,87
Sorana Cirstea,471,251,389,156,17,3830,2219,3796,1621,124,2226,1249,2335,1085,52
Tereza Martincova,878,541,844,352,22,3148,1759,3079,1338,67,734,395,732,345,11
Madison Brengle,563,307,580,254,0,1588,802,1696,766,2,735,360,780,369,2
Liudmila Samsonova,747,468,801,324,71,2475,1462,2438,943,203,1142,641,1111,483,54
Angelique Kerber,1549,939,1614,757,39,4985,2846,5229,2364,93,902,485,878,381,7
Harriet Dart,1015,552,950,382,26,1259,655,1260,531,26,250,145,295,116,4
Marketa Vondrousova,561,307,538,221,20,4232,2462,4420,2051,138,2222,1277,2292,1070,38
Viktorija Golubic,1338,763,1338,607,15,3212,1706,3093,1442,19,652,321,654,285,5
Aliaksandra Sasnovich,371,208,388,149,15,5145,2832,5189,2281,180,1871,1024,1880,879,32
Lucia Bronzetti,0,0,0,0,0,269,135,258,124,10,360,208,441,228,19
Alison Riske Amritraj,1716,1028,1870,771,41,4868,2779,4959,2189,165,622,322,608,250,12
Linda Fruhvirtova,0,0,0,0,0,133,74,144,66,8,300,155,297,147,3
Emma Raducanu,299,177,346,164,14,840,513,844,379,39,0,0,0,0,0
Irina Camelia Begu,222,117,211,91,7,3144,1783,3273,1388,102,1900,1058,1948,853,45
Camila Giorgi,718,415,772,342,42,4143,2379,4132,1782,189,1316,729,1290,566,45
Harmony Tan,0,0,0,0,0,294,161,304,127,9,818,415,767,341,16
Heather Watson,941,549,945,380,67,3189,1782,3028,1246,174,309,172,276,113,11
Shelby Rogers,772,456,784,321,35,3262,1952,3363,1440,175,1995,1140,1977,822,106
