surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Clay,Gael Monfils,309,177,375,165,11,Guillermo Garcia Lopez,363,194,347,133,9,10
Clay,Andy Murray,0,0,0,0,0,Fernando Verdasco,0,0,0,0,0,0
Clay,Tomas Berdych,46,35,51,25,3,John Isner,88,66,113,35,10,2
Clay,Ernests Gulbis,259,161,257,109,26,Roger Federer,181,111,175,74,11,6
Clay,Milos Raonic,147,103,157,57,13,Marcel Granollers,130,80,129,48,2,4
Clay,Novak Djokovic,363,218,383,168,13,Jo-Wilfried Tsonga,155,105,173,63,12,7
Clay,Rafael Nadal,471,329,547,263,20,David Ferrer,548,347,523,235,13,16
Clay,Andy Murray,162,105,178,65,12,Gael Monfils,220,156,238,91,30,4
Clay,Ernests Gulbis,285,182,320,128,22,Tomas Berdych,294,191,297,90,19,6
Clay,Novak Djokovic,427,268,421,168,10,Milos Raonic,201,127,199,62,19,7
Clay,Rafael Nadal,162,125,189,87,8,Andy Murray,129,69,123,41,6,5
Clay,Novak Djokovic,441,281,505,221,24,Ernests Gulbis,564,345,520,189,47,13
Clay,Rafael Nadal,410,284,463,210,12,Novak Djokovic,553,370,565,232,24,14
Grass,Novak Djokovic,105,55,105,41,4,Jo-Wilfried Tsonga,85,52,82,25,10,2
Grass,Marin Cilic,0,0,0,0,0,Jeremy Chardy,0,0,0,0,0,0
Grass,Andy Murray,0,0,0,0,0,Kevin Anderson,0,0,0,0,0,0
Grass,Grigor Dimitrov,0,0,0,0,0,Leonardo Mayer,0,0,0,0,0,0
Grass,Stan Wawrinka,0,0,0,0,0,Feliciano Lopez,0,0,0,0,0,0
Grass,Roger Federer,0,0,0,0,0,Tommy Robredo,0,0,0,0,0,0
Grass,Milos Raonic,0,0,0,0,0,Kei Nishikori,0,0,0,0,0,0
Grass,Nick Kyrgios,0,0,0,0,0,Rafael Nadal,0,0,0,0,0,0
Grass,Novak Djokovic,194,118,204,80,20,Marin Cilic,191,128,172,51,12,4
Grass,Grigor Dimitrov,0,0,0,0,0,Andy Murray,0,0,0,0,0,0
Grass,Roger Federer,0,0,0,0,0,Stan Wawrinka,0,0,0,0,0,0
Grass,Milos Raonic,0,0,0,0,0,Nick Kyrgios,0,0,0,0,0,0
Grass,Novak Djokovic,0,0,0,0,0,Grigor Dimitrov,0,0,0,0,0,0
Grass,Roger Federer,0,0,0,0,0,Milos Raonic,0,0,0,0,0,0
Grass,Novak Djokovic,89,61,107,50,13,Roger Federer,78,56,85,31,15,2
Hard,Jo-Wilfried Tsonga,672,455,651,227,75,Novak Djokovic,744,511,772,332,65,18
Hard,Andy Murray,963,640,1018,420,81,Richard Gasquet,1426,893,1394,550,84,31
Hard,Kevin Anderson,791,514,784,255,112,Stan Wawrinka,931,620,940,354,95,22
Hard,Grigor Dimitrov,357,206,346,125,38,Tommy Robredo,415,231,355,120,23,10
Hard,Milos Raonic,1600,1143,1710,575,346,Julien Benneteau,1238,765,1325,532,116,36
Hard,Feliciano Lopez,645,386,536,144,37,Tomas Berdych,755,515,774,282,70,18
Hard,David Ferrer,1270,794,1260,530,55,Ivan Dodig,1296,811,1335,490,139,34
Hard,Roger Federer,994,696,1021,394,85,Marin Cilic,648,415,707,273,71,19
Hard,Jo-Wilfried Tsonga,1335,880,1287,433,150,Andy Murray,862,595,921,396,88,27
Hard,Grigor Dimitrov,1082,736,1073,341,117,Kevin Anderson,970,640,1029,326,136,26
Hard,Feliciano Lopez,753,483,678,226,91,Milos Raonic,915,672,1036,352,192,24
Hard,Roger Federer,1643,1051,1653,610,117,David Ferrer,1452,872,1363,523,46,38
Hard,Jo-Wilfried Tsonga,859,573,847,282,105,Grigor Dimitrov,483,331,465,153,61,17
Hard,Roger Federer,1012,690,1078,421,104,Feliciano Lopez,754,474,670,200,77,22
Hard,Jo-Wilfried Tsonga,718,482,715,223,86,Roger Federer,838,571,883,337,76,19
Hard,Tommy Robredo,662,396,614,211,35,Novak Djokovic,1372,933,1566,651,102,25
Hard,David Ferrer,1107,640,1064,428,34,Mikhail Youzhny,934,573,891,336,61,28
Hard,Stan Wawrinka,345,247,405,160,35,Marin Cilic,369,216,405,160,33,9
Hard,Julien Benneteau,517,299,568,216,34,Jerzy Janowicz,437,288,465,144,70,15
Hard,Milos Raonic,133,92,165,76,28,Steve Johnson,249,153,236,79,26,6
Hard,Fabio Fognini,193,109,177,79,4,Yen Hsun Lu,268,160,287,116,13,6
Hard,Andy Murray,907,597,931,366,71,John Isner,932,619,897,262,155,24
Hard,Roger Federer,1155,769,1240,474,89,Gael Monfils,739,469,709,232,78,22
Hard,David Ferrer,872,559,872,381,34,Tommy Robredo,787,465,772,276,44,22
Hard,Julien Benneteau,836,513,897,361,75,Stan Wawrinka,1091,735,1179,470,121,26
Hard,Milos Raonic,298,211,297,86,48,Fabio Fognini,474,271,468,186,16,13
Hard,Roger Federer,1295,861,1351,542,107,Andy Murray,1124,737,1091,417,88,30
Hard,David Ferrer,1672,1045,1743,737,67,Julien Benneteau,1247,793,1362,510,98,37
Hard,Roger Federer,1650,1107,1703,661,129,Milos Raonic,1226,861,1283,409,246,37
Hard,Roger Federer,1643,1051,1653,610,117,David Ferrer,1452,872,1363,523,46,38
Hard,Novak Djokovic,1572,1075,1735,721,136,Philipp Kohlschreiber,1166,742,1139,387,109,37
Hard,Andy Murray,862,595,921,396,88,Jo-Wilfried Tsonga,1335,880,1287,433,150,27
Hard,Stan Wawrinka,475,312,483,175,41,Tommy Robredo,230,127,195,60,11,9
Hard,Kei Nishikori,896,570,930,367,41,Milos Raonic,1078,759,1142,374,214,27
Hard,Tomas Berdych,188,135,205,70,22,Dominic Thiem,209,138,194,63,18,4
Hard,Marin Cilic,554,365,573,214,79,Gilles Simon,694,408,665,253,25,16
Hard,Gael Monfils,767,477,740,242,90,Grigor Dimitrov,622,407,603,197,87,19
Hard,Roger Federer,636,427,661,268,51,Roberto Bautista Agut,512,310,468,175,12,15
Hard,Novak Djokovic,2010,1385,2237,989,164,Andy Murray,1400,914,1362,551,119,43
Hard,Kei Nishikori,717,435,747,289,28,Stan Wawrinka,891,612,964,387,100,23
Hard,Marin Cilic,393,275,464,186,33,Tomas Berdych,467,341,511,193,49,13
Hard,Roger Federer,1155,769,1240,474,89,Gael Monfils,739,469,709,232,78,22
Hard,Kei Nishikori,648,379,651,233,17,Novak Djokovic,648,469,723,318,62,19
Hard,Marin Cilic,648,415,707,273,71,Roger Federer,994,696,1021,394,85,19
Hard,Marin Cilic,569,372,624,261,53,Kei Nishikori,627,392,605,227,30,17
Hard,Novak Djokovic,361,261,414,189,39,Mikhail Kukushkin,332,183,268,105,24,9
Hard,David Ferrer,1305,797,1309,510,40,Andy Murray,1002,664,1002,404,98,31
Hard,Roger Federer,636,427,661,268,51,Roberto Bautista Agut,512,310,468,175,12,15
Hard,Julien Benneteau,419,248,412,143,29,Jack Sock,503,283,423,135,45,12
Hard,Tomas Berdych,897,583,905,348,83,Ivo Karlovic,565,409,567,152,126,19
Hard,Gilles Simon,0,0,0,0,0,Malek Jaziri,0,0,0,0,0,0
Hard,Mikhail Youzhny,456,306,508,195,30,Juan Monaco,384,224,351,135,11,10
