name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Alexander Zverev,323,221,334,111,37,1800,1248,1970,730,280,650,419,685,314,48,Stefanos Tsitsipas,78,51,103,33,15,2092,1445,2178,797,222,1333,894,1258,473,75,0,0,0
Novak Djokovic,326,229,358,135,21,1489,1027,1534,592,175,892,584,1014,451,49,Hubert Hurkacz,432,297,413,134,32,1516,997,1481,511,180,100,54,78,17,6,0,0,0
Carlos Alcaraz,0,0,0,0,0,523,342,539,194,19,49,34,55,26,0,Rafael Nadal,0,0,0,0,0,233,169,240,80,22,759,499,756,338,25,0,0,0
Stefanos Tsitsipas,78,51,103,33,15,1904,1312,2021,766,209,1472,1000,1462,574,93,Andrey Rublev,394,276,427,161,43,1936,1260,2063,791,230,670,417,713,298,28,0,0,0
Alexander Zverev,224,171,272,98,41,1720,1223,1928,755,275,598,389,620,264,46,Felix Auger Aliassime,542,385,547,187,89,1309,857,1413,492,149,268,164,261,101,20,0,0,0
Novak Djokovic,326,229,358,135,21,977,686,1047,398,129,435,295,535,228,19,Andy Murray,141,76,145,47,5,917,593,912,302,97,0,0,0,0,0,0,0,0
Hubert Hurkacz,282,193,277,88,21,1041,724,1059,353,140,161,100,137,37,15,Dusan Lajovic,87,48,82,26,4,970,608,901,312,47,451,263,442,157,14,0,0,0
Rafael Nadal,0,0,0,0,0,82,61,104,46,7,595,392,557,255,21,David Goffin,0,0,0,0,0,302,171,302,114,15,171,99,162,50,6,0,0,0
Carlos Alcaraz,0,0,0,0,0,1003,664,1003,386,42,616,368,656,281,20,Cameron Norrie,305,213,317,107,24,1272,810,1350,533,76,507,303,466,157,19,0,0,0
Andrey Rublev,0,0,0,0,0,1653,1078,1761,663,190,54,32,47,10,1,Daniel Evans,259,187,278,96,14,1458,916,1452,516,75,428,258,401,151,17,0,0,0
Stefanos Tsitsipas,0,0,0,0,0,1170,790,1171,422,109,888,622,895,353,53,Grigor Dimitrov,0,0,0,0,0,1438,912,1440,549,97,187,113,188,61,9,0,0,0
Felix Auger Aliassime,665,457,657,225,89,1696,1128,1772,632,205,561,349,550,225,36,Jannik Sinner,132,73,139,55,2,2300,1487,2338,915,160,730,478,776,329,37,0,0,0
Alexander Zverev,168,107,153,52,9,1178,803,1297,486,174,362,245,391,147,27,Lorenzo Musetti,96,57,82,18,3,675,392,623,223,15,683,401,719,270,10,0,0,0
Novak Djokovic,189,138,239,102,14,1537,1063,1633,664,193,875,560,950,423,46,Stefanos Tsitsipas,78,51,103,33,15,1144,768,1163,400,105,1148,815,1197,485,66,0,0,0
Novak Djokovic,234,164,262,97,13,1345,936,1385,554,149,779,542,899,403,45,Casper Ruud,107,71,99,32,6,946,606,912,309,67,869,607,969,388,50,0,0,0
Stefanos Tsitsipas,78,51,103,33,15,2092,1445,2178,797,222,1333,894,1258,473,75,Alexander Zverev,323,221,334,111,37,1800,1248,1970,730,280,650,419,685,314,48,0,0,0
Novak Djokovic,394,282,448,182,26,1678,1154,1772,710,183,831,555,982,432,44,Felix Auger Aliassime,398,259,428,146,43,1254,801,1321,464,123,422,258,407,153,18,0,0,0
Casper Ruud,57,31,48,14,2,1041,676,969,353,66,655,468,713,318,43,Denis Shapovalov,357,226,325,109,26,1216,773,1155,393,95,400,248,393,157,35,0,0,0
Stefanos Tsitsipas,78,51,103,33,15,2029,1365,2079,756,193,1188,791,1102,394,75,Jannik Sinner,0,0,0,0,0,1792,1154,1799,681,120,886,524,880,371,30,0,0,0
Alexander Zverev,235,158,249,89,17,1478,1007,1622,575,209,531,346,567,252,36,Cristian Garin,85,44,67,13,2,240,141,238,80,9,793,490,829,337,28,0,0,0
Novak Djokovic,93,64,101,44,4,135,103,176,82,12,0,0,0,0,0,Stan Wawrinka,0,0,0,0,0,170,102,134,46,9,0,0,0,0,0,0,0,0
Felix Auger Aliassime,216,147,221,81,26,670,457,695,246,99,353,209,335,128,26,Marcos Giron,102,59,74,17,5,1018,640,991,330,57,240,128,204,74,7,0,0,0
Denis Shapovalov,174,110,177,52,7,770,501,770,253,66,71,46,62,25,2,Rafael Nadal,0,0,0,0,0,235,166,260,111,20,774,483,766,347,24,0,0,0
Casper Ruud,155,103,157,52,10,634,403,611,198,52,480,297,516,224,22,Jenson Brooksby,80,53,74,30,2,754,461,794,331,17,0,0,0,0,0,0,0,0
Jannik Sinner,0,0,0,0,0,858,568,896,335,45,203,126,210,75,13,Filip Krajinovic,0,0,0,0,0,608,364,541,157,28,433,267,426,147,18,0,0,0
Stefanos Tsitsipas,78,51,103,33,15,1281,874,1317,496,151,765,554,762,304,46,Karen Khachanov,505,341,495,181,61,1447,926,1425,515,111,432,248,428,146,21,0,0,0
Cristian Garin,193,118,200,67,17,232,131,240,92,6,672,399,628,234,25,Marin Cilic,324,203,316,118,32,584,374,560,223,81,150,93,138,37,18,0,0,0
Alexander Zverev,186,151,235,89,32,806,549,892,354,106,815,536,881,389,57,Alex De Minaur,263,168,255,87,4,1123,691,1172,443,48,298,182,323,131,4,0,0,0
Novak Djokovic,165,121,178,78,13,962,662,1038,447,123,769,476,841,397,37,Diego Schwartzman,125,72,124,45,1,1327,814,1389,571,31,596,349,587,228,11,0,0,0
Rafael Nadal,0,0,0,0,0,314,223,321,109,30,779,501,749,340,23,Felix Auger Aliassime,239,157,235,85,26,587,383,627,205,67,200,130,214,86,9,0,0,0
Alexander Zverev,168,107,153,52,9,333,243,383,153,54,137,86,129,72,9,Bernabe Zapata Miralles,0,0,0,0,0,267,150,251,86,3,188,104,208,83,3,0,0,0
Carlos Alcaraz,0,0,0,0,0,1219,781,1271,496,50,495,311,515,229,21,Karen Khachanov,433,284,435,160,57,1451,927,1423,508,96,195,116,178,64,12,0,0,0
Casper Ruud,57,31,48,14,2,1070,658,1023,366,68,960,622,1037,406,53,Hubert Hurkacz,477,323,482,155,38,2064,1361,2039,712,280,253,166,261,80,22,0,0,0
Holger Rune,0,0,0,0,0,331,209,343,110,17,138,70,149,53,2,Stefanos Tsitsipas,0,0,0,0,0,400,282,440,174,37,520,327,442,163,34,0,0,0
Andrey Rublev,412,285,446,161,36,1802,1189,1961,759,189,570,362,579,230,22,Jannik Sinner,132,73,139,55,2,2044,1306,2045,804,131,606,347,597,241,22,0,0,0
Marin Cilic,206,149,227,89,32,1337,824,1256,432,148,233,144,229,86,26,Daniil Medvedev,181,131,235,105,24,1539,1032,1645,671,194,608,392,654,261,44,0,0,0
Rafael Nadal,0,0,0,0,0,233,169,240,80,22,879,543,873,396,22,Novak Djokovic,112,80,108,36,8,779,536,773,293,96,303,198,391,172,9,0,0,0
Alexander Zverev,168,107,153,52,9,1337,919,1468,573,197,569,371,586,218,44,Carlos Alcaraz,82,41,64,16,2,876,547,914,371,28,437,271,490,213,16,0,0,0
