name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Serena Williams,421,284,477,212,66,1361,884,1457,693,186,428,272,361,179,43,Evgeniya Rodina,197,99,166,59,0,918,475,928,373,16,598,306,573,224,2,0,0,0
Camila Giorgi,728,445,688,274,32,2574,1442,2409,1006,81,829,456,802,345,20,Kate Makarova,539,322,582,251,21,3651,2162,3680,1578,159,1409,816,1446,618,37,0,0,0
Jelena Ostapenko,835,476,855,389,34,3049,1632,3212,1506,125,1446,787,1542,729,63,Dominika Cibulkova,880,480,842,381,9,3988,2270,3872,1733,44,820,494,889,413,11,0,0,0
Angelique Kerber,1383,862,1450,623,29,5456,3127,5751,2636,128,1622,959,1729,757,25,Daria Kasatkina,308,180,301,124,13,3657,2002,3797,1753,93,1291,710,1244,591,23,0,0,0
Julia Goerges,403,245,374,163,22,3382,2032,3322,1391,267,1823,1078,1698,696,125,Kiki Bertens,420,243,358,146,11,2387,1338,2445,1073,172,2792,1678,2774,1289,173,0,0,0
Serena Williams,607,417,693,330,106,2594,1687,2823,1286,364,927,594,959,467,91,Camila Giorgi,1008,640,936,377,44,2415,1370,2304,980,73,499,263,462,191,9,0,0,0
Angelique Kerber,1223,769,1256,537,27,5786,3404,5947,2720,114,1305,788,1358,602,25,Jelena Ostapenko,1026,598,1019,435,46,2897,1507,3083,1442,106,1787,974,1893,898,74,0,0,0
Serena Williams,437,300,486,246,90,2701,1778,2931,1369,372,959,612,927,452,88,Julia Goerges,303,189,283,125,19,3142,1864,3153,1246,241,1518,888,1423,559,92,0,0,0
Angelique Kerber,849,519,952,419,20,5852,3320,5969,2741,114,1543,913,1664,759,17,Serena Williams,562,391,656,318,120,2812,1865,3032,1360,416,1175,729,1155,530,114,0,0,0
Serena Williams,106,74,121,61,27,982,651,1008,433,152,381,251,431,230,43,Kaia Kanepi,63,34,48,10,4,497,281,446,195,25,168,92,153,61,6,0,0,0
Karolina Pliskova,857,535,851,342,83,3263,2036,3459,1501,303,646,383,690,280,61,Ashleigh Barty,467,284,504,205,31,1617,957,1477,641,121,169,97,161,79,6,0,0,0
Sloane Stephens,237,139,277,121,6,1444,829,1440,621,45,623,372,638,292,13,Elise Mertens,413,226,393,174,16,909,510,884,410,46,845,451,840,373,32,0,0,0
Anastasija Sevastova,939,534,947,409,28,2857,1567,2705,1182,102,1453,814,1436,636,33,Elina Svitolina,296,188,298,134,15,4319,2512,4523,2114,163,1527,902,1542,703,59,0,0,0
Carla Suarez Navarro,567,335,561,236,12,2620,1506,2747,1155,48,1725,926,1771,785,14,Maria Sharapova,353,215,348,158,16,1364,860,1507,696,119,1113,700,1154,495,69,0,0,0
Madison Keys,966,622,987,390,82,3685,2236,3639,1524,275,1462,885,1545,708,95,Dominika Cibulkova,828,470,817,387,6,5088,2809,4941,2284,47,681,392,713,317,6,0,0,0
Naomi Osaka,94,56,99,44,11,392,243,404,165,35,0,0,0,0,0,Aryna Sabalenka,0,0,0,0,0,515,303,498,215,34,0,0,0,0,0,0,0,0
Lesia Tsurenko,84,49,106,41,1,493,272,500,237,9,0,0,0,0,0,Marketa Vondrousova,95,54,93,31,3,423,237,444,210,13,233,127,231,93,9,0,0,0
Serena Williams,697,490,813,385,137,2902,1898,3080,1422,423,1284,809,1253,586,130,Karolina Pliskova,981,609,1027,429,88,5765,3520,5903,2538,586,1183,696,1144,457,101,0,0,0
Anastasija Sevastova,537,310,538,223,15,2033,1088,1880,790,64,914,516,883,385,16,Sloane Stephens,466,288,480,201,19,2257,1311,2309,967,64,585,352,571,256,15,0,0,0
Madison Keys,823,523,882,350,86,4687,2914,4690,1959,377,1320,803,1414,648,104,Carla Suarez Navarro,883,503,902,372,24,4061,2274,4371,1969,72,1909,1037,1957,900,22,0,0,0
Naomi Osaka,202,124,192,61,12,1621,976,1694,718,112,532,303,570,247,29,Lesia Tsurenko,545,318,535,211,10,1912,1120,1875,849,52,506,243,514,214,9,0,0,0
