surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Grass,Novak Djokovic,477,346,578,248,34,Nick Kyrgios,376,258,402,125,68,9
Hard,Pablo Carreno Busta,4194,2695,4304,1552,210,Hubert Hurkacz,4761,3046,4638,1568,497,115
Hard,Hubert Hurkacz,3945,2550,3736,1236,440,Casper Ruud,3804,2450,3768,1308,201,97
Hard,Pablo Carreno Busta,3715,2327,3725,1297,173,Daniel Evans,3387,2165,3437,1289,155,93
Hard,Hubert Hurkacz,3189,2055,3049,1011,342,Nick Kyrgios,2110,1479,2066,575,410,62
Hard,Casper Ruud,3510,2321,3462,1174,235,Felix Auger Aliassime,3584,2327,3609,1226,438,100
Hard,Pablo Carreno Busta,91,61,94,35,4,Jack Draper,43,24,53,22,3,2
Hard,Daniel Evans,3538,2226,3491,1270,157,Tommy Paul,2313,1430,2290,839,120,71
Hard,Nick Kyrgios,3180,2218,3046,881,620,Alex De Minaur,3069,2011,3212,1142,137,79
Hard,Hubert Hurkacz,2960,1933,2954,1009,311,Albert Ramos,3193,1973,3193,1122,125,77
Hard,Casper Ruud,4624,3002,4545,1598,274,Roberto Bautista Agut,5164,3296,5296,2010,200,123
Hard,Felix Auger Aliassime,4412,2870,4548,1633,503,Cameron Norrie,4084,2538,4180,1627,254,111
Hard,Pablo Carreno Busta,3632,2357,3723,1364,184,Jannik Sinner,3978,2554,4046,1593,205,99
Hard,Jack Draper,43,24,53,22,3,Gael Monfils,64,43,57,24,15,2
Hard,Daniel Evans,4813,3022,4728,1685,250,Taylor Fritz,5690,3787,5643,1890,670,129
Hard,Tommy Paul,2672,1622,2702,1010,153,Marin Cilic,3291,2129,3260,1138,401,72
Hard,Borna Coric,3123,2023,3074,1048,291,Stefanos Tsitsipas,7522,5086,7561,2730,660,136
Hard,Stefanos Tsitsipas,10334,7052,10486,3777,924,Daniil Medvedev,8651,5813,9156,3604,1044,249
Hard,Borna Coric,2963,1981,2948,1026,290,Cameron Norrie,4323,2714,4335,1629,277,98
Hard,Daniil Medvedev,7862,5359,8387,3327,996,Taylor Fritz,6796,4451,6620,2216,785,191
Hard,Stefanos Tsitsipas,7677,5228,7650,2790,672,John Isner,4232,3054,4241,1192,1024,155
Hard,Cameron Norrie,1723,1108,1769,656,90,Carlos Alcaraz,1248,810,1294,497,59,39
Hard,Borna Coric,2564,1703,2556,866,167,Felix Auger Aliassime,3321,2137,3325,1145,384,77
Hard,Daniil Medvedev,8511,5674,8927,3510,975,Denis Shapovalov,7858,5130,8017,2827,745,206
Hard,Taylor Fritz,7153,4690,7055,2422,822,Andrey Rublev,6834,4565,7273,2815,652,181
Hard,Stefanos Tsitsipas,7996,5367,8080,2896,698,Diego Schwartzman,5256,3141,5265,2109,98,169
Hard,John Isner,1720,1191,1687,439,367,Sebastian Korda,1202,747,1130,427,71,40
Hard,Cameron Norrie,0,0,0,0,0,Ben Shelton,0,0,0,0,0,0
Hard,Carlos Alcaraz,478,330,506,209,21,Marin Cilic,893,546,825,323,90,19
Hard,Felix Auger Aliassime,4879,3202,4990,1801,539,Jannik Sinner,5182,3329,5188,2019,303,128
Hard,Borna Coric,2748,1805,2665,904,258,Roberto Bautista Agut,4519,2906,4730,1861,205,93
Hard,Nick Kyrgios,2813,1930,2623,706,567,Daniil Medvedev,4756,3215,4988,1901,557,98
Hard,Karen Khachanov,4778,3005,4878,1751,394,Pablo Carreno Busta,4654,2949,4732,1696,236,118
Hard,Matteo Berrettini,2850,1914,2849,968,347,Alejandro Davidovich Fokina,1845,1072,1867,724,48,56
Hard,Casper Ruud,1989,1284,1920,659,122,Corentin Moutet,1509,904,1480,501,33,46
Hard,Jannik Sinner,2352,1507,2355,942,110,Ilya Ivashka,1964,1251,1991,742,148,60
Hard,Carlos Alcaraz,478,330,506,209,21,Marin Cilic,893,546,825,323,90,19
Hard,Andrey Rublev,6505,4266,6888,2701,606,Cameron Norrie,6077,3773,6136,2370,390,167
Hard,Frances Tiafoe,3938,2433,3759,1339,274,Rafael Nadal,4144,2749,4154,1710,226,102
Hard,Karen Khachanov,3471,2227,3517,1248,310,Nick Kyrgios,2959,2036,2830,790,568,82
Hard,Casper Ruud,2815,1793,2698,960,183,Matteo Berrettini,2787,1858,2762,896,288,73
Hard,Carlos Alcaraz,1040,633,1043,398,34,Jannik Sinner,1668,1058,1705,715,72,34
Hard,Frances Tiafoe,7135,4515,6959,2474,490,Andrey Rublev,6648,4342,7012,2733,601,170
Hard,Casper Ruud,4641,2985,4530,1561,252,Karen Khachanov,4080,2560,4053,1431,323,113
Hard,Carlos Alcaraz,1278,788,1275,495,54,Frances Tiafoe,2433,1565,2377,849,171,46
Hard,Carlos Alcaraz,1026,649,1095,422,33,Casper Ruud,1501,961,1480,538,79,35
Hard,Holger Rune,185,128,197,71,14,Novak Djokovic,367,242,361,140,27,8
