P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Konstantin Kravchuk,Gilles Simon,grass,1,2,15,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,30
Konstantin Kravchuk,Gilles Simon,grass,1,2,40,40
Konstantin Kravchuk,Gilles Simon,grass,1,2,40,AD
Konstantin Kravchuk,Gilles Simon,grass,1,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,15
Konstantin Kravchuk,Gilles Simon,grass,1,2,15,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,15
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,15
Konstantin Kravchuk,Gilles Simon,grass,1,2,30,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,40
Konstantin Kravchuk,Gilles Simon,grass,2,1,15,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,15
Konstantin Kravchuk,Gilles Simon,grass,1,2,15,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,30
Konstantin Kravchuk,Gilles Simon,grass,2,1,15,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,15,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,0
Konstantin Kravchuk,Gilles Simon,grass,1,2,15,15
Konstantin Kravchuk,Gilles Simon,grass,1,2,15,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,1,15,15
Konstantin Kravchuk,Gilles Simon,grass,2,1,30,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,30,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,30,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,0
Konstantin Kravchuk,Gilles Simon,grass,1,2,40,15
Konstantin Kravchuk,Gilles Simon,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,30
Konstantin Kravchuk,Gilles Simon,grass,2,1,15,30
Konstantin Kravchuk,Gilles Simon,grass,2,1,30,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,30,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,15
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,15
Konstantin Kravchuk,Gilles Simon,grass,1,2,30,30
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,30
Konstantin Kravchuk,Gilles Simon,grass,1,2,40,40
Konstantin Kravchuk,Gilles Simon,grass,1,2,40,AD
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,40
Konstantin Kravchuk,Gilles Simon,grass,1,1,AD,40
Konstantin Kravchuk,Gilles Simon,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,1,15,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,15,30
Konstantin Kravchuk,Gilles Simon,grass,2,1,30,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,30,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,1,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,1,1
Konstantin Kravchuk,Gilles Simon,grass,2,2,1,2
Konstantin Kravchuk,Gilles Simon,grass,1,2,1,3
Konstantin Kravchuk,Gilles Simon,grass,1,2,1,4
Konstantin Kravchuk,Gilles Simon,grass,2,1,2,4
Konstantin Kravchuk,Gilles Simon,grass,2,2,2,5
Konstantin Kravchuk,Gilles Simon,grass,1,1,3,5
Konstantin Kravchuk,Gilles Simon,grass,1,1,4,5
Konstantin Kravchuk,Gilles Simon,grass,2,2,4,6
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,30
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,40
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,15,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,30,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,40,0
Konstantin Kravchuk,Gilles Simon,grass,1,1,0,0
Konstantin Kravchuk,Gilles Simon,grass,2,2,0,15
Konstantin Kravchuk,Gilles Simon,grass,2,1,15,15
Konstantin Kravchuk,Gilles Simon,grass,2,1,30,15
Konstantin Kravchuk,Gilles Simon,grass,2,2,30,30
