P1,P2,PointServer,PointWinner,P1Score,P2Score,SetNo
Rafael Nadal,John Isner,2,2,15,15,3
Rafael Nadal,John Isner,2,1,30,15,3
Rafael Nadal,John Isner,2,1,40,15,3
Rafael Nadal,John Isner,2,2,40,30,3
Rafael Nadal,John Isner,2,2,40,40,3
Rafael Nadal,John Isner,2,2,40,AD,3
Rafael Nadal,John Isner,2,2,0,0,3
Rafael Nadal,John Isner,1,2,0,1,3
Rafael Nadal,John Isner,2,2,0,2,3
Rafael Nadal,John Isner,2,2,0,3,3
Rafael Nadal,John Isner,1,1,1,3,3
Rafael Nadal,John Isner,1,2,1,4,3
Rafael Nadal,John Isner,2,1,2,4,3
Rafael Nadal,John Isner,2,2,2,5,3
Rafael Nadal,John Isner,1,2,2,6,3
Rafael Nadal,John Isner,1,2,0,0,3
Rafael Nadal,John Isner,2,1,15,0,4
Rafael Nadal,John Isner,2,1,30,0,4
Rafael Nadal,John Isner,2,2,30,15,4
Rafael Nadal,John Isner,2,2,30,30,4
Rafael Nadal,John Isner,2,2,30,40,4
Rafael Nadal,John Isner,2,2,0,0,4
Rafael Nadal,John Isner,1,1,15,0,4
Rafael Nadal,John Isner,1,1,30,0,4
Rafael Nadal,John Isner,1,1,40,0,4
Rafael Nadal,John Isner,1,1,0,0,4
Rafael Nadal,John Isner,2,2,0,15,4
Rafael Nadal,John Isner,2,1,15,15,4
Rafael Nadal,John Isner,2,1,30,15,4
Rafael Nadal,John Isner,2,1,40,15,4
Rafael Nadal,John Isner,2,2,40,30,4
Rafael Nadal,John Isner,2,1,0,0,4
Rafael Nadal,John Isner,1,2,0,15,4
Rafael Nadal,John Isner,1,1,15,15,4
Rafael Nadal,John Isner,1,1,30,15,4
Rafael Nadal,John Isner,1,1,40,15,4
Rafael Nadal,John Isner,1,2,40,30,4
Rafael Nadal,John Isner,1,1,0,0,4
Rafael Nadal,John Isner,2,2,0,15,4
Rafael Nadal,John Isner,2,1,15,15,4
Rafael Nadal,John Isner,2,2,15,30,4
Rafael Nadal,John Isner,2,1,30,30,4
Rafael Nadal,John Isner,2,2,30,40,4
Rafael Nadal,John Isner,2,2,0,0,4
Rafael Nadal,John Isner,1,1,15,0,4
Rafael Nadal,John Isner,1,1,30,0,4
Rafael Nadal,John Isner,1,1,40,0,4
Rafael Nadal,John Isner,1,1,0,0,4
Rafael Nadal,John Isner,2,2,0,15,4
Rafael Nadal,John Isner,2,2,0,30,4
Rafael Nadal,John Isner,2,1,15,30,4
Rafael Nadal,John Isner,2,1,30,30,4
