name,t_serve_total,t_serve_won,t_receive_total,t_receive_won,1_serve_total,1_serve_won,1_receive_total,1_receive_won,2_serve_total,2_serve_won,2_receive_total,2_receive_won,3_serve_total,3_serve_won,3_receive_total,3_receive_won,4_serve_total,4_serve_won,4_receive_total,4_receive_won,5_serve_total,5_serve_won,5_receive_total,5_receive_won,6_serve_total,6_serve_won,6_receive_total,6_receive_won,7_serve_total,7_serve_won,7_receive_total,7_receive_won,8_serve_total,8_serve_won,8_receive_total,8_receive_won,9_serve_total,9_serve_won,9_receive_total,9_receive_won,10_serve_total,10_serve_won,10_receive_total,10_receive_won,11_serve_total,11_serve_won,11_receive_total,11_receive_won,12_serve_total,12_serve_won,12_receive_total,12_receive_won,13_serve_total,13_serve_won,13_receive_total,13_receive_won,14_serve_total,14_serve_won,14_receive_total,14_receive_won,15_serve_total,15_serve_won,15_receive_total,15_receive_won,16_serve_total,16_serve_won,16_receive_total,16_receive_won,17_serve_total,17_serve_won,17_receive_total,17_receive_won,18_serve_total,18_serve_won,18_receive_total,18_receive_won
Frances Tiafoe,11,6,11,2,53,31,54,21,31,22,33,14,22,13,21,7,22,16,19,4,22,11,28,10,9,6,7,4,16,11,15,6,17,9,22,4,17,9,13,5,3,2,4,1,14,9,24,4,17,10,12,3,10,8,8,2,15,12,13,2,15,5,9,4,21,16,9,2,16,6,7,0,5,3,2,0
Andrey Rublev,10,5,10,3,22,12,23,5,12,8,18,5,10,6,5,2,8,7,13,3,10,8,8,3,4,3,2,0,7,2,10,3,9,6,8,2,5,2,5,2,1,0,0,0,11,6,9,2,5,3,5,1,3,3,2,1,8,5,6,2,5,4,2,0,10,9,6,0,9,6,6,2,1,0,0,0
Paul Henri Mathieu,19,9,18,7,102,59,103,30,59,35,73,22,43,25,30,8,35,18,51,18,49,26,44,21,18,12,8,3,18,9,33,10,43,25,41,14,35,22,26,9,6,3,3,1,34,20,37,14,40,25,31,9,16,10,11,4,39,22,36,11,25,12,16,5,56,26,46,20,26,16,26,10,30,17,20,6
Yoshihito Nishioka,14,7,14,5,93,54,93,24,54,30,69,24,39,26,24,9,30,22,45,11,50,24,39,11,13,6,9,2,22,15,34,14,32,15,39,8,32,22,18,5,7,3,2,0,22,18,45,8,39,18,21,9,13,6,7,1,22,16,20,7,27,11,15,5,25,14,33,22,14,12,11,2,11,6,22,8
Bjorn Fratangelo,10,5,10,1,70,41,73,17,41,25,56,21,29,14,17,5,25,12,35,12,30,18,33,10,15,9,5,3,12,10,23,6,31,17,35,12,21,12,12,4,6,2,3,0,19,11,29,6,26,18,20,5,11,6,7,3,26,14,21,4,14,9,9,4,50,34,19,9,34,15,10,2,16,10,9,1
Evgeny Donskoy,14,6,13,0,112,68,115,43,68,44,72,27,44,22,43,17,44,31,45,12,46,30,53,16,22,11,17,7,31,19,33,12,43,30,49,14,27,17,26,9,11,4,7,3,42,27,47,20,30,15,31,9,14,10,13,4,30,11,42,18,25,19,18,3,58,41,61,19,41,30,42,15,17,9,19,6
Rajeev Ram,28,16,28,10,54,34,54,17,34,20,37,12,20,12,17,5,20,12,25,9,26,21,24,9,8,5,5,2,12,11,16,3,29,22,24,7,10,6,12,6,3,1,2,2,23,18,20,10,13,10,13,4,5,2,6,1,15,10,19,8,5,1,9,4,9,6,18,6,6,5,12,2,3,2,6,3
Austin Krajicek,6,3,6,2,40,27,43,11,27,19,32,9,13,9,11,5,19,13,23,4,17,11,15,5,4,2,5,0,13,9,19,3,17,14,14,3,8,4,10,4,2,1,0,0,18,11,14,4,7,4,9,2,5,1,4,0,11,8,11,4,4,2,6,4,5,4,10,4,4,4,6,3,1,0,4,3
Jurgen Melzer,23,10,23,6,66,39,66,26,39,26,40,18,27,15,26,9,26,18,22,6,28,18,35,13,12,8,9,2,18,14,16,4,26,15,28,12,18,11,20,8,4,1,2,0,19,11,20,8,22,10,24,9,8,2,10,4,18,9,23,8,14,8,15,5,37,23,23,6,23,11,17,2,14,8,6,3
Kateryna Kozlova,0,0,0,0,24,13,25,9,13,6,16,8,11,7,9,7,6,1,8,3,14,8,10,4,4,3,7,3,1,0,5,5,13,7,9,2,9,5,8,1,1,1,3,0,8,3,12,4,11,5,9,5,5,1,4,2,10,4,8,3,7,6,7,3,21,11,13,5,11,6,8,3,10,4,5,2
Samantha Crawford,7,3,7,5,32,14,35,9,14,7,25,8,19,7,9,5,7,5,17,7,14,5,12,0,12,10,5,1,5,3,10,3,7,4,19,8,19,9,4,1,2,0,1,1,6,4,14,5,12,7,11,4,10,9,1,0,9,6,12,7,14,4,5,2,12,6,13,7,6,4,6,1,6,3,7,5
Anna Tatishvili,0,0,0,0,27,18,27,7,18,11,20,10,9,4,7,3,11,7,10,2,11,4,14,4,5,2,3,3,7,4,8,2,8,5,12,6,9,5,4,4,3,1,3,2,8,5,8,3,8,5,6,3,5,2,5,2,8,8,6,0,5,3,6,3,5,4,6,3,4,3,3,3,1,1,3,3
Daria Kasatkina,0,0,0,0,60,30,63,28,30,20,35,14,30,17,28,11,20,11,21,8,27,8,31,17,13,7,11,5,11,7,13,3,17,12,22,7,26,14,23,7,6,4,5,2,16,11,18,7,19,13,23,9,16,8,10,4,18,8,21,14,14,9,15,10,32,16,32,17,16,11,15,6,16,8,17,10
Vania King,6,4,6,1,30,15,30,13,15,6,17,7,15,8,13,6,6,3,10,5,17,6,14,4,7,1,6,2,3,2,5,3,9,3,15,6,12,8,8,2,6,3,2,1,4,2,12,3,14,8,12,5,7,2,3,1,10,6,10,5,8,4,7,5,13,8,10,2,8,6,8,2,5,3,2,1
Oceane Dodin,10,6,11,3,97,52,97,38,52,26,59,21,45,18,38,19,26,14,38,15,44,28,40,10,27,12,19,8,14,9,23,11,40,17,45,19,28,15,21,11,15,8,8,2,22,8,37,17,38,22,29,14,21,12,17,8,36,22,32,13,28,13,23,11,50,32,48,18,32,18,30,12,18,9,18,7
Louisa Chirico,0,0,0,0,32,10,33,14,10,6,19,8,22,6,14,5,6,3,11,1,10,5,17,5,16,8,5,3,3,1,10,0,8,5,13,6,13,7,7,3,8,5,3,0,7,3,7,1,10,5,10,2,11,7,6,2,9,4,9,2,12,6,6,2,22,8,13,4,8,4,9,4,14,7,4,1
Mayo Hibi,0,0,0,0,6,2,7,3,2,0,4,1,4,3,3,3,0,0,3,1,5,2,1,1,1,0,3,1,0,0,2,0,2,0,1,0,3,1,3,0,1,0,1,0,0,0,1,1,3,1,3,0,2,0,1,0,1,1,4,1,2,0,1,0,0,0,8,3,0,0,5,3,0,0,3,0
Jamie Loeb,0,0,0,0,7,5,7,3,5,2,4,1,2,0,3,1,2,1,3,2,3,0,3,0,2,1,1,0,1,0,1,0,1,1,5,0,4,3,1,0,1,1,0,0,2,1,5,1,3,1,1,0,2,0,0,0,2,0,2,1,2,2,0,0,9,4,1,0,4,1,1,0,5,2,0,0
Jessica Pegula,0,0,0,0,23,15,24,10,15,10,14,6,8,2,10,3,10,4,8,2,7,4,13,7,6,2,3,1,4,1,6,2,10,4,8,3,5,3,9,4,4,0,1,0,7,7,7,4,9,5,8,6,2,2,5,0,5,4,6,3,6,3,11,4,8,2,15,3,2,0,12,3,6,2,3,1
Kateryna Bondarenko,11,6,10,8,94,49,93,42,49,30,51,21,45,19,42,18,30,19,30,8,38,20,45,18,26,13,18,11,19,12,22,8,31,19,35,16,31,16,25,11,13,6,11,7,26,18,27,14,28,18,30,15,21,15,15,5,26,12,29,12,25,9,25,16,45,24,41,25,24,10,16,8,21,8,25,13
Jimmy Wang,6,5,6,0,16,9,16,3,9,6,13,3,7,5,3,0,6,4,10,4,8,5,6,1,2,2,0,0,4,4,6,0,7,6,9,2,5,4,1,0,0,0,0,0,6,2,7,2,5,3,3,1,1,1,0,0,7,3,4,0,3,3,1,0,9,6,1,0,6,5,1,0,3,1,0,0
Julien Benneteau,25,16,24,6,95,63,98,35,63,40,63,23,32,21,35,14,40,24,40,11,44,29,44,12,11,9,14,3,24,14,29,9,45,28,43,14,24,16,23,6,2,2,3,1,38,23,38,19,33,25,31,12,10,8,8,3,40,24,38,11,16,7,17,5,38,24,42,13,24,15,29,10,14,6,13,4
Ze Zhang,0,0,0,0,16,7,16,6,7,4,10,3,9,7,6,3,4,1,7,1,10,5,6,3,2,1,3,1,1,0,6,0,8,6,4,1,6,4,5,2,1,0,1,1,7,3,3,1,6,2,4,1,2,2,2,0,6,3,4,3,6,5,3,1,14,4,5,2,4,3,3,0,10,5,2,2
Alejandro Gonzalez,0,0,0,0,31,21,31,11,21,14,20,6,10,6,11,4,14,9,14,8,13,9,13,5,4,2,4,1,9,3,6,2,14,10,16,7,6,2,8,2,2,0,1,0,16,7,11,2,6,3,13,5,4,3,3,2,12,8,10,3,6,4,6,3,15,7,12,4,7,5,8,3,8,5,4,1
Jan Hernych,0,0,0,0,12,6,13,3,6,2,10,1,6,1,3,2,2,1,9,3,5,2,2,0,5,0,2,0,1,1,6,1,3,2,5,1,3,2,2,0,5,3,0,0,2,1,5,1,3,2,3,2,4,2,0,0,3,2,2,1,3,1,2,1,3,3,4,1,3,2,3,1,0,0,1,0
Ivan Dodig,19,10,20,4,81,47,80,30,47,27,50,17,34,18,30,12,27,12,33,15,38,22,35,9,16,11,12,4,12,8,18,6,37,22,41,14,27,14,17,4,5,4,4,0,26,19,33,12,29,19,27,10,17,9,8,3,26,13,29,12,19,12,15,7,38,26,37,13,26,19,24,12,12,6,13,8
