name,t_serve_total,t_serve_won,t_receive_total,t_receive_won,1_serve_total,1_serve_won,1_receive_total,1_receive_won,2_serve_total,2_serve_won,2_receive_total,2_receive_won,3_serve_total,3_serve_won,3_receive_total,3_receive_won,4_serve_total,4_serve_won,4_receive_total,4_receive_won,5_serve_total,5_serve_won,5_receive_total,5_receive_won,6_serve_total,6_serve_won,6_receive_total,6_receive_won,7_serve_total,7_serve_won,7_receive_total,7_receive_won,8_serve_total,8_serve_won,8_receive_total,8_receive_won,9_serve_total,9_serve_won,9_receive_total,9_receive_won,10_serve_total,10_serve_won,10_receive_total,10_receive_won,11_serve_total,11_serve_won,11_receive_total,11_receive_won,12_serve_total,12_serve_won,12_receive_total,12_receive_won,13_serve_total,13_serve_won,13_receive_total,13_receive_won,14_serve_total,14_serve_won,14_receive_total,14_receive_won,15_serve_total,15_serve_won,15_receive_total,15_receive_won,16_serve_total,16_serve_won,16_receive_total,16_receive_won,17_serve_total,17_serve_won,17_receive_total,17_receive_won,18_serve_total,18_serve_won,18_receive_total,18_receive_won
Corentin Moutet,15,12,16,9,105,53,109,38,53,30,71,29,52,36,38,14,30,19,42,22,59,35,53,19,16,11,14,4,19,15,20,7,46,26,56,23,35,20,29,12,5,4,4,1,30,14,40,10,40,25,40,20,19,5,15,4,41,23,30,15,20,15,31,13,60,32,66,24,32,21,42,15,28,16,24,6
Lorenzo Sonego,5,3,6,1,61,33,60,22,33,19,38,17,28,17,22,8,19,13,21,5,31,20,31,13,11,4,8,4,13,6,16,5,26,14,23,9,15,9,17,7,7,5,4,3,21,12,19,5,21,11,19,3,11,9,8,2,20,15,21,2,19,10,9,3,25,15,13,5,15,10,8,3,10,5,5,3
Marcel Granollers,11,6,10,4,47,30,48,17,30,18,31,7,17,8,17,6,18,15,24,5,20,10,18,4,9,5,6,3,15,11,19,9,13,6,19,6,15,8,7,1,4,1,3,0,10,7,22,11,15,12,12,8,8,7,4,0,15,13,15,6,10,6,12,4,18,10,31,12,10,5,19,9,8,5,12,4
Ugo Humbert,31,19,31,11,122,82,125,40,82,58,85,27,40,23,40,13,58,41,58,18,47,35,54,24,17,8,13,5,41,24,40,10,52,41,48,18,20,14,32,10,9,3,5,2,58,37,40,10,25,17,40,12,9,5,13,3,38,24,38,18,13,10,22,10,49,26,65,29,26,17,36,15,23,16,29,9
Gael Monfils,36,22,36,16,115,73,112,47,73,50,65,22,42,31,47,25,50,30,43,16,54,40,44,18,11,4,25,10,30,21,27,6,60,37,42,15,18,11,33,16,7,5,10,5,46,30,33,11,34,23,32,19,12,7,21,9,39,25,24,10,18,11,31,10,47,28,52,23,28,19,29,7,19,13,23,9
Daniil Medvedev,72,52,73,33,280,185,276,103,185,129,173,71,95,61,103,42,129,89,102,39,117,85,132,50,34,22,42,16,89,63,63,19,125,86,121,45,54,38,76,33,12,11,16,10,112,77,95,34,77,50,88,42,27,18,39,18,85,57,80,32,45,27,63,26,100,70,129,58,70,43,71,25,30,18,58,23
Paolo Lorenzi,62,36,62,18,99,69,102,28,69,41,74,33,30,18,28,8,41,29,41,9,46,27,53,17,12,10,8,2,29,14,32,6,39,26,45,17,29,17,23,6,2,0,2,1,41,28,34,13,30,16,34,16,12,8,7,0,29,17,31,12,22,13,23,11,46,31,42,16,31,20,26,7,15,10,16,5
Pablo Carreno Busta,42,28,41,12,170,117,172,69,117,70,103,38,53,32,69,32,70,52,65,16,79,45,75,36,21,11,32,10,52,30,49,14,63,40,55,21,45,23,58,24,10,9,10,3,62,46,48,7,46,28,55,22,31,20,31,9,44,27,40,17,38,29,44,18,81,50,82,37,50,33,45,20,31,18,37,18
Alexei Popyrin,27,18,27,13,91,60,92,30,60,35,62,14,31,17,30,14,35,25,48,18,42,26,30,15,14,8,14,5,25,20,30,10,36,21,33,14,24,19,24,11,6,4,5,1,26,13,29,9,34,21,27,8,9,7,15,10,34,19,28,6,20,12,13,3,53,35,31,16,35,22,15,5,18,13,16,6
Jeremy Chardy,12,9,12,4,89,61,88,33,61,39,55,16,28,16,33,12,39,29,39,14,38,26,37,14,12,6,12,6,29,20,25,9,36,22,37,10,18,12,20,6,6,5,6,3,31,20,36,11,26,17,24,7,11,7,9,1,28,17,28,10,16,10,15,4,58,29,43,18,29,13,25,10,29,21,18,6
Martin Klizan,7,3,7,3,31,18,32,9,18,11,23,7,13,7,9,3,11,9,16,4,14,7,13,3,6,2,3,0,9,5,12,3,9,6,14,2,9,7,6,2,4,2,0,0,10,6,15,6,10,7,6,1,4,4,2,0,11,4,11,3,7,5,3,1,22,10,7,4,10,6,3,0,12,6,4,2
Bradley Klahn,0,0,0,0,64,37,63,24,37,24,39,12,27,13,24,8,24,16,27,11,26,23,28,4,14,10,8,4,16,13,16,4,31,17,35,8,13,9,8,3,4,4,4,1,20,17,31,11,23,9,13,3,8,5,6,2,12,5,21,6,19,11,7,3,32,16,16,7,16,11,9,4,16,9,7,5
David Goffin,46,34,48,24,216,139,214,83,139,96,131,51,77,51,83,34,96,55,80,26,94,63,100,43,26,16,34,13,55,36,54,15,104,65,83,32,47,32,64,21,10,6,13,1,84,57,66,27,71,44,75,30,21,11,33,18,71,47,72,26,38,22,45,17,89,56,101,45,56,30,56,23,33,17,45,21
Kyle Edmund,15,8,15,3,105,61,106,40,61,41,66,22,44,26,40,19,41,24,44,13,46,29,43,13,18,13,19,8,24,17,31,7,46,32,43,16,30,22,24,11,5,3,8,3,39,28,34,12,36,26,29,12,11,5,16,3,37,25,29,6,15,8,25,12,53,28,36,12,28,11,24,12,25,16,12,7
Jaume Munar,12,3,11,5,48,29,49,17,29,16,32,16,19,10,17,5,16,8,16,5,23,15,28,11,9,6,5,1,8,7,11,3,23,15,22,10,14,7,15,5,3,3,1,1,16,8,15,2,15,7,20,9,10,5,5,0,15,9,13,4,13,8,14,3,28,16,33,12,16,10,21,11,12,8,12,5
Kamil Majchrzak,36,22,37,9,95,69,96,31,69,41,65,19,26,13,31,11,41,30,46,14,41,32,39,11,13,6,11,4,30,21,32,15,43,28,42,17,15,11,18,9,7,6,4,1,37,29,40,13,26,17,26,3,10,3,12,4,25,16,36,15,12,9,11,1,33,13,36,10,13,9,26,7,20,11,10,6
Fernando Verdasco,24,14,24,12,117,81,116,37,81,58,79,27,36,26,37,17,58,38,52,19,49,30,47,22,10,5,17,8,38,26,33,10,50,40,44,16,24,17,31,13,5,5,8,2,52,35,38,21,27,16,34,16,12,8,19,10,33,20,39,9,19,12,25,12,43,25,35,16,25,18,19,2,18,11,16,5
Andrea Arnaboldi,5,3,6,1,16,9,16,2,9,9,14,2,7,1,2,1,9,7,12,5,1,1,3,0,6,5,1,0,7,5,7,1,3,3,8,1,5,5,1,0,1,1,0,0,5,2,8,1,5,4,2,0,1,1,0,0,7,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivo Karlovic,27,19,27,7,66,47,69,18,47,32,51,14,19,11,18,7,32,22,37,7,26,19,25,6,8,6,7,1,22,19,30,6,29,20,26,8,13,6,12,1,2,1,1,0,23,19,24,6,15,11,19,5,8,5,2,0,15,13,20,4,9,6,7,2,11,8,13,2,8,6,11,3,3,1,2,1
Thomas Fabbiano,31,18,30,8,111,79,111,37,79,53,74,28,32,19,37,15,53,32,46,18,45,34,50,11,13,9,15,7,32,23,28,8,55,39,57,26,20,12,19,6,4,3,7,1,48,35,39,11,28,19,39,10,11,10,12,5,32,24,40,13,19,12,17,6,36,26,46,14,26,17,32,12,10,7,14,4
Stefanos Tsitsipas,38,26,37,16,104,65,101,35,65,40,66,28,39,28,35,12,40,24,38,12,53,43,51,16,11,7,12,5,24,17,26,6,59,36,47,12,17,13,23,12,4,4,5,3,43,30,41,13,36,24,23,7,8,6,14,3,37,24,29,14,18,13,18,3,52,34,52,25,34,17,27,8,18,9,25,10
Kevin Anderson,16,11,16,0,71,48,71,24,48,41,47,17,23,17,24,8,41,28,30,11,24,18,33,12,6,4,8,1,28,23,19,8,31,21,32,15,10,7,19,3,2,1,1,1,26,18,25,12,17,11,31,13,4,3,3,1,19,14,30,9,9,7,15,5,20,12,36,10,12,10,26,11,8,6,10,4
Pierre Hugues Herbert,7,5,7,3,34,20,35,16,20,10,19,6,14,7,16,6,10,4,13,4,17,8,16,6,7,4,6,1,4,2,9,3,14,9,14,4,13,10,11,4,3,1,1,0,11,8,13,1,15,8,11,2,4,1,5,1,11,8,10,6,8,5,6,2,11,6,15,3,6,4,12,3,5,1,3,1
Janko Tipsarevic,16,10,17,4,61,39,63,20,39,24,43,10,22,15,20,7,24,13,33,11,30,20,23,6,7,5,7,2,13,8,22,3,31,17,28,11,15,10,11,3,2,2,2,1,22,13,20,7,24,15,19,7,7,4,4,2,24,10,19,4,13,9,9,2,46,26,15,7,26,17,8,2,20,14,7,5
Yoshihito Nishioka,24,15,24,10,91,52,90,36,52,34,54,16,39,26,36,16,34,22,38,14,44,27,36,13,13,8,16,5,22,14,24,7,39,24,37,11,25,15,24,6,5,2,5,3,32,15,33,10,30,19,29,10,12,5,8,1,36,29,29,14,16,12,17,5,42,21,49,18,21,13,31,9,21,15,18,4
Andreas Seppi,14,12,13,3,81,51,83,34,51,37,49,18,30,15,34,9,37,21,31,9,29,20,43,13,15,9,9,3,21,18,22,6,36,26,39,14,18,10,19,7,6,5,3,0,29,14,31,9,20,14,26,11,13,11,10,3,29,18,24,10,17,10,18,7,37,21,43,16,21,14,27,10,16,9,16,4
Nicolas Jarry,27,22,26,6,43,23,46,13,23,12,33,13,20,14,13,4,12,8,20,5,25,19,22,4,6,6,4,2,8,4,15,2,23,12,23,6,12,7,6,1,0,0,2,0,16,10,19,5,18,15,11,4,5,3,3,2,21,13,12,5,6,4,5,2,21,15,11,4,15,8,7,0,6,2,4,1
Marius Copil,24,19,24,5,59,39,59,15,39,25,44,10,20,14,15,4,25,18,34,11,28,17,21,10,6,4,4,2,18,13,23,9,24,14,22,5,15,9,12,4,2,1,2,1,19,10,26,6,19,12,13,6,7,4,5,2,21,12,13,4,11,5,9,2,21,12,16,8,12,10,8,1,9,5,8,4
Guido Pella,27,22,27,7,147,95,142,50,95,66,92,29,52,38,50,21,66,40,63,21,67,35,58,20,14,9,21,7,40,27,42,9,61,37,59,21,41,27,34,16,5,2,7,1,50,29,47,19,51,30,39,13,16,13,22,7,51,35,45,14,34,23,28,11,72,44,57,22,44,30,35,9,28,19,22,5
Stan Wawrinka,34,24,32,10,130,89,126,42,89,57,84,34,41,28,42,20,57,44,50,18,60,44,56,18,13,9,20,8,44,36,32,9,57,43,56,27,25,15,30,13,4,3,8,3,51,37,38,11,29,20,44,15,13,8,18,7,34,24,40,16,17,12,26,7,46,28,57,18,28,19,39,11,18,15,18,7
Ruben Bemelmans,0,0,0,0,12,9,13,1,9,5,12,5,3,1,1,0,5,3,7,1,5,1,6,0,2,2,0,0,3,1,6,2,3,2,7,2,6,3,0,0,0,0,0,0,4,2,7,2,4,4,2,0,3,2,0,0,6,2,4,3,2,2,0,0,8,2,4,0,2,2,4,1,6,2,0,0
Cedrik Marcel Stebe,13,10,12,2,55,27,54,18,27,20,36,12,28,17,18,8,20,15,24,9,24,13,22,8,11,4,8,3,15,9,15,5,18,12,23,7,15,9,13,7,7,5,3,1,18,12,21,8,15,9,13,3,11,7,9,4,15,11,18,8,13,5,8,5,15,7,20,6,7,5,14,5,8,4,6,2
Reilly Opelka,26,13,25,5,109,65,111,35,65,39,76,21,44,30,35,21,39,30,55,14,56,40,35,10,14,8,21,11,30,21,41,9,49,37,39,12,24,17,20,10,6,4,11,1,46,28,36,4,29,21,22,5,11,6,20,5,39,25,21,8,14,12,20,8,47,30,33,9,30,19,24,7,17,10,9,3
Jozef Kovalik,0,0,0,0,45,31,44,14,31,18,30,7,14,5,14,3,18,11,23,7,18,10,18,6,9,5,3,1,11,8,16,2,17,10,19,5,13,8,8,3,4,1,1,0,13,5,16,8,15,10,10,4,6,2,4,2,18,11,14,5,7,3,6,2,17,7,14,3,7,3,11,3,10,3,3,1
Robin Haase,16,10,17,1,43,29,43,14,29,20,29,10,14,8,14,5,20,13,19,4,17,11,19,8,6,3,5,1,13,10,15,2,18,13,15,6,9,3,12,5,3,3,1,1,16,11,11,4,8,8,13,5,9,4,5,2,13,8,12,4,4,3,8,3,21,10,13,6,10,5,7,2,11,8,6,4
Prajnesh Gunneswaran,4,1,4,0,28,12,27,11,12,10,16,4,16,8,11,3,10,5,12,6,10,6,12,3,8,4,3,1,5,3,6,2,11,6,15,1,8,4,5,1,4,0,1,1,8,7,16,3,9,5,5,1,4,2,1,0,6,3,7,2,6,3,2,0,6,5,5,1,5,5,4,0,1,0,1,0
Milos Raonic,32,26,32,16,107,81,108,50,81,67,58,19,26,18,50,18,67,51,39,11,32,21,51,16,8,4,18,6,51,42,28,7,37,29,46,14,15,10,28,12,4,4,6,3,38,28,39,14,18,15,30,8,9,7,15,6,25,18,36,12,10,8,17,5,26,18,45,14,18,13,31,10,8,6,14,3
Karen Khachanov,26,16,25,9,139,95,143,43,95,69,100,38,44,27,43,20,69,43,62,22,53,32,61,21,17,13,20,6,43,35,40,13,58,39,62,27,34,21,35,11,4,3,6,2,47,37,48,20,40,25,51,20,16,14,15,6,35,22,51,24,29,17,29,10,49,35,92,34,35,24,58,25,14,8,34,10
Soonwoo Kwon,18,11,19,9,76,50,77,32,50,29,45,16,26,14,32,9,29,16,29,12,35,20,39,19,12,8,9,2,16,11,17,5,33,22,32,15,22,17,26,9,4,3,2,0,27,20,22,7,28,11,32,7,8,5,11,2,18,10,32,16,22,9,16,6,34,23,39,16,23,15,23,7,11,9,16,10
Marcos Giron,6,3,6,2,71,37,71,29,37,21,42,9,34,18,29,13,21,11,33,10,34,20,25,7,16,10,13,5,11,6,23,11,30,20,28,7,24,17,15,7,6,1,5,2,25,20,32,8,27,18,15,5,8,7,10,5,23,17,18,4,16,8,10,2,29,15,24,7,15,8,17,8,14,8,7,3
Feliciano Lopez,26,15,26,5,116,71,114,43,71,46,71,21,45,30,43,16,46,28,50,20,55,40,48,18,15,12,16,5,28,22,30,12,58,44,50,11,27,19,29,12,3,1,5,3,50,32,51,15,33,25,28,12,9,7,14,1,43,32,31,9,15,10,25,11,41,30,44,16,30,18,28,9,11,8,16,4
Steve Darcis,0,0,0,0,41,19,41,12,19,11,29,11,22,12,12,5,11,8,18,8,20,9,18,9,9,3,5,2,8,6,10,3,12,8,17,4,14,7,12,3,6,4,2,2,10,6,16,5,11,8,13,2,11,7,3,1,12,7,16,7,10,9,4,2,24,15,16,4,15,10,12,5,9,5,4,2
Mischa Zverev,0,0,0,0,14,9,14,5,9,4,9,4,5,3,5,1,4,0,5,2,8,4,8,4,2,1,1,1,0,0,3,0,8,7,6,1,5,3,4,3,1,0,1,0,7,5,5,2,4,2,2,1,2,2,4,1,4,2,3,3,4,2,4,0,8,4,13,3,4,2,10,3,4,2,3,0
Peter Gojowczyk,0,0,0,0,27,14,28,7,14,9,21,9,13,7,7,2,9,6,12,4,12,7,14,4,6,4,2,0,6,4,8,1,10,8,14,2,9,3,6,4,2,0,0,0,10,5,13,5,5,2,4,2,6,3,4,0,7,3,7,1,6,3,6,3,17,8,9,1,8,4,8,4,9,6,1,0
Roberto Bautista Agut,10,8,10,6,164,107,162,66,107,74,96,38,57,30,66,24,74,61,58,21,63,39,80,34,27,18,23,8,61,45,37,21,52,33,67,25,42,25,49,18,9,3,8,3,49,32,63,29,44,31,56,24,20,14,23,9,47,33,61,25,27,19,38,12,67,49,99,37,49,30,62,23,18,15,37,12
Benoit Paire,32,23,33,16,110,75,111,33,75,49,78,38,35,24,32,14,49,30,40,14,50,35,56,18,11,9,14,5,30,16,26,7,54,36,52,12,24,17,27,11,2,1,5,4,50,30,47,19,35,23,28,10,8,5,12,2,43,26,37,12,17,12,20,4,45,28,60,22,28,21,38,17,17,9,22,7
Juan Ignacio Londero,15,9,16,5,71,45,70,28,45,23,42,14,26,14,28,9,23,15,28,11,36,21,33,14,12,8,9,4,15,12,17,7,29,22,30,14,23,14,19,6,4,1,4,1,25,17,23,11,21,15,27,12,10,6,9,6,23,14,26,5,12,6,15,9,21,12,19,8,12,9,11,4,9,3,8,4
Roberto Carballes Baena,6,5,6,2,62,42,65,25,42,25,40,14,20,11,25,8,25,14,26,9,28,18,31,14,9,4,8,2,14,7,17,6,29,18,26,9,14,6,20,7,5,3,2,1,25,16,23,7,17,10,22,5,11,7,8,3,19,14,24,4,14,6,10,2,26,16,19,7,16,7,12,2,10,6,7,2
Miomir Kecmanovic,27,17,27,8,79,51,79,27,51,33,52,22,27,21,27,12,33,24,30,8,39,24,37,16,6,5,12,5,24,13,22,12,33,23,29,9,20,15,23,10,1,1,5,3,34,24,32,16,25,17,22,8,6,2,12,4,27,16,29,16,10,8,16,7,42,27,48,18,27,14,30,10,15,10,18,5
Pablo Cuevas,30,21,31,10,111,75,109,31,75,49,78,27,36,25,31,13,49,32,51,15,51,35,45,14,11,7,13,7,32,19,36,10,52,33,46,11,23,14,20,8,4,2,7,1,46,33,45,16,33,23,23,6,11,4,14,6,36,21,33,9,14,11,14,7,49,28,22,6,28,17,16,4,21,12,6,4
Damir Dzumhur,9,6,9,2,70,36,71,23,36,20,48,19,34,26,23,5,20,14,29,13,42,25,37,12,8,1,5,1,14,11,16,3,31,19,38,15,18,11,16,8,7,5,1,1,22,12,26,8,23,15,23,12,12,9,8,6,25,16,19,7,17,10,14,2,39,25,42,19,25,12,23,11,14,7,19,7
Jiri Vesely,29,14,26,8,105,68,106,34,68,48,72,25,37,27,34,10,48,30,47,16,47,32,49,15,10,6,10,4,30,24,31,12,50,40,50,16,21,13,21,9,4,2,4,0,46,29,46,10,23,18,28,4,10,8,13,8,35,22,34,14,13,12,9,2,46,28,41,17,28,19,24,7,18,12,17,4
Alexander Zverev,52,36,52,21,243,167,243,107,167,119,136,48,76,43,107,40,119,83,88,29,91,56,115,42,33,20,40,14,83,51,59,23,92,52,102,34,55,33,68,25,13,10,14,3,84,53,91,33,73,51,77,26,32,22,36,15,82,50,84,38,44,24,47,24,107,77,116,47,77,43,69,30,30,17,47,22
Dominic Thiem,44,32,42,15,145,95,143,48,95,59,95,37,50,31,48,22,59,41,58,21,67,43,63,25,19,13,22,8,41,30,37,8,61,44,59,22,37,23,39,17,6,4,8,4,55,46,45,17,40,27,44,26,18,12,21,8,36,23,35,17,25,16,39,12,53,31,80,33,31,20,47,19,22,13,33,16
Sam Querrey,54,40,55,18,121,92,121,32,92,62,89,27,29,20,32,8,62,39,62,13,50,40,51,18,9,5,8,3,39,28,49,18,63,36,46,11,15,8,23,8,4,3,3,3,47,36,53,14,35,22,26,12,10,5,8,3,33,27,28,14,18,13,17,6,38,25,47,15,25,15,32,12,13,9,15,5
Cristian Garin,12,5,11,6,110,62,110,39,62,43,71,26,48,30,39,13,43,24,45,15,49,26,52,21,18,11,13,4,24,14,30,10,45,23,46,12,34,18,30,14,7,4,4,1,33,21,44,11,40,20,28,7,20,11,17,5,32,20,32,15,31,22,19,9,61,47,50,18,47,28,32,13,14,8,18,6
Andrey Rublev,52,33,51,19,167,117,169,59,117,73,110,39,50,38,59,22,73,54,71,25,82,50,76,32,12,8,22,12,54,37,46,15,69,51,69,26,40,23,42,22,4,3,12,6,68,48,58,25,41,30,46,16,20,13,28,6,50,36,55,24,24,16,37,11,74,45,98,36,45,24,62,26,29,23,36,14
Hugo Dellien,0,0,0,0,62,35,65,19,35,17,46,19,27,17,19,12,17,10,27,6,35,13,26,13,10,3,12,4,10,8,21,4,20,11,19,5,25,13,20,7,7,4,4,0,13,9,18,8,22,16,18,9,16,10,11,3,20,7,17,6,16,9,17,8,40,19,23,7,19,12,16,4,21,11,7,3
John Millman,21,13,21,4,92,66,90,36,66,40,54,22,26,13,36,14,40,32,32,16,39,25,44,19,13,9,14,2,32,25,16,6,33,27,41,13,23,13,31,11,4,3,2,1,34,19,34,13,19,10,33,10,13,10,12,3,25,14,36,15,19,16,19,7,55,34,50,24,34,19,26,11,21,13,24,12
Guido Andreozzi,10,4,10,2,21,13,21,8,13,9,13,4,8,4,8,1,9,6,9,3,8,5,11,3,4,3,1,1,6,4,6,1,8,6,11,1,6,4,3,1,1,1,1,0,8,3,11,6,6,5,3,2,3,2,2,0,10,6,7,3,3,1,4,3,9,9,4,0,9,5,4,0,0,0,0,0
Laslo Djere,14,10,15,6,68,39,67,24,39,22,43,15,29,19,24,9,22,10,28,10,36,17,30,10,10,7,9,3,10,8,18,5,29,19,30,8,26,18,16,6,3,2,3,0,21,11,27,13,28,16,18,2,10,7,9,3,26,14,29,14,19,9,8,2,42,23,36,8,23,13,28,12,19,11,8,4
Gilles Simon,8,4,8,5,96,68,96,42,68,40,54,27,28,17,42,13,40,21,27,15,45,26,56,23,11,4,13,6,21,14,12,5,45,28,48,20,23,13,30,13,7,5,6,2,35,22,33,11,30,19,37,13,15,11,17,6,32,19,35,15,21,9,24,8,46,22,63,26,22,13,37,19,24,15,26,13
Salvatore Caruso,8,3,8,4,66,41,65,23,41,24,42,14,25,15,23,10,24,14,28,8,32,18,27,15,10,4,10,2,14,10,20,8,28,13,20,6,18,6,23,8,6,2,2,1,17,9,22,12,21,12,21,8,14,9,9,2,20,11,25,8,18,13,15,3,49,36,36,17,36,18,19,5,13,9,17,6
Yasutaka Uchiyama,0,0,0,0,40,24,40,10,24,14,30,15,16,10,10,4,14,10,15,6,20,11,21,6,6,3,4,1,10,5,9,4,15,11,21,8,12,6,9,4,3,2,1,1,16,11,17,4,10,4,13,5,8,4,4,2,9,6,12,3,10,9,7,2,19,12,16,4,12,8,12,5,7,3,4,1
Tennys Sandgren,53,34,53,13,159,95,154,48,95,56,106,33,64,48,48,19,56,40,73,22,87,56,62,19,16,9,19,9,40,26,51,18,72,51,65,24,40,30,29,11,7,4,9,2,65,41,59,24,51,31,42,15,14,11,18,7,55,40,51,21,31,17,26,8,48,37,61,24,37,26,37,8,11,5,24,10
Marton Fucsovics,28,20,28,10,116,75,119,50,75,41,69,32,41,22,50,16,41,31,37,15,56,37,66,27,19,10,16,10,31,24,22,7,47,28,54,27,29,21,33,17,9,2,10,4,35,23,34,11,40,24,43,16,10,5,23,5,36,22,38,17,21,9,34,13,38,21,79,36,21,15,43,18,17,9,36,13
Dennis Novak,4,2,5,0,41,22,39,20,22,12,19,7,19,12,20,9,12,4,12,3,22,11,18,7,7,3,9,3,4,3,9,2,19,11,14,5,14,6,13,5,4,2,3,3,12,9,11,2,14,9,13,5,10,6,5,2,12,6,10,3,11,7,8,3,21,12,15,6,12,7,9,5,9,3,6,4
Frances Tiafoe,7,6,7,2,125,82,124,45,82,45,79,21,43,26,45,17,45,35,58,24,63,37,49,19,17,8,17,5,35,25,34,16,47,30,54,16,34,24,31,15,9,5,5,2,40,29,54,22,41,30,32,8,15,10,18,7,41,19,46,19,21,12,19,9,63,37,54,19,37,25,35,15,26,17,19,9
