name,t_serve_total,t_serve_won,t_receive_total,t_receive_won,1_serve_total,1_serve_won,1_receive_total,1_receive_won,2_serve_total,2_serve_won,2_receive_total,2_receive_won,3_serve_total,3_serve_won,3_receive_total,3_receive_won,4_serve_total,4_serve_won,4_receive_total,4_receive_won,5_serve_total,5_serve_won,5_receive_total,5_receive_won,6_serve_total,6_serve_won,6_receive_total,6_receive_won,7_serve_total,7_serve_won,7_receive_total,7_receive_won,8_serve_total,8_serve_won,8_receive_total,8_receive_won,9_serve_total,9_serve_won,9_receive_total,9_receive_won,10_serve_total,10_serve_won,10_receive_total,10_receive_won,11_serve_total,11_serve_won,11_receive_total,11_receive_won,12_serve_total,12_serve_won,12_receive_total,12_receive_won,13_serve_total,13_serve_won,13_receive_total,13_receive_won,14_serve_total,14_serve_won,14_receive_total,14_receive_won,15_serve_total,15_serve_won,15_receive_total,15_receive_won,16_serve_total,16_serve_won,16_receive_total,16_receive_won,17_serve_total,17_serve_won,17_receive_total,17_receive_won,18_serve_total,18_serve_won,18_receive_total,18_receive_won
Nicolas Almagro,110,76,111,28,408,288,407,151,288,193,256,91,120,79,151,51,193,130,165,59,174,129,191,77,41,31,51,13,130,88,106,27,192,130,173,62,76,39,115,53,10,5,13,3,172,121,138,44,101,69,124,42,42,30,63,28,120,81,126,48,62,41,77,24,139,85,184,72,85,57,112,36,54,31,72,25
David Nalbandian,21,15,22,6,172,88,173,62,88,50,111,45,84,54,62,29,50,32,66,24,92,60,78,28,29,14,29,9,32,24,42,14,78,49,74,34,46,27,48,15,15,9,9,4,57,44,54,21,56,36,67,21,28,16,20,6,49,27,67,29,36,19,35,11,77,48,97,37,48,34,60,21,29,22,36,13
Andreas Haider-Maurer,0,0,0,0,32,17,32,13,17,9,19,5,15,8,13,2,9,6,14,8,16,14,16,4,7,4,2,2,6,5,6,2,17,10,20,7,6,3,4,1,3,1,2,0,11,8,15,2,10,5,10,4,4,4,3,1,8,3,8,4,9,5,6,1,19,9,14,3,9,7,11,2,10,7,3,0
Adrian Mannarino,6,3,6,1,68,36,71,20,36,21,51,14,32,16,20,5,21,10,37,8,32,17,29,11,15,9,5,2,10,5,29,8,28,13,26,12,24,13,14,4,6,2,2,0,18,9,22,6,27,13,22,6,13,8,6,1,22,17,22,7,22,9,11,5,22,12,23,5,12,8,18,6,10,4,5,1
Igor Andreev,38,24,41,11,139,84,144,48,84,58,96,32,55,42,48,18,58,43,64,25,68,50,62,22,13,11,18,9,43,27,39,15,65,39,65,21,29,18,31,9,2,1,9,6,55,37,59,19,44,27,43,12,12,5,12,5,45,31,50,17,22,12,19,9,40,26,63,23,26,15,40,20,14,3,23,7
Bernard Tomic,36,23,38,23,281,186,273,103,186,111,170,64,95,60,103,35,111,72,106,31,135,91,132,39,35,21,35,13,72,50,75,19,130,80,124,46,65,43,61,27,14,11,13,6,102,65,97,31,93,62,80,29,33,19,34,13,99,51,82,18,50,31,50,14,159,94,93,37,94,50,56,20,65,36,37,18
Jurgen Melzer,46,33,42,16,186,114,189,78,113,70,110,43,73,35,79,33,70,40,67,25,78,46,89,28,38,25,33,11,40,26,43,13,75,50,85,33,57,39,50,19,13,4,11,3,64,41,65,29,64,47,65,27,22,12,26,13,70,40,67,31,29,19,39,16,85,44,98,29,44,30,69,28,41,22,29,13
Viktor Troicki,12,8,11,4,219,129,221,86,129,73,135,51,90,59,86,40,73,44,84,31,115,83,97,33,31,19,40,15,44,24,53,21,112,64,95,33,51,29,58,20,12,7,15,6,84,55,83,29,77,42,71,35,29,22,29,10,71,45,65,20,57,32,53,20,113,64,102,43,64,37,59,27,49,28,43,21
Yen-Hsun Lu,22,17,22,11,145,84,143,41,84,51,102,35,61,28,41,11,51,36,66,26,61,30,66,21,33,20,11,6,36,23,40,11,45,33,70,28,51,27,26,5,13,7,6,3,45,27,53,16,40,26,49,10,31,18,8,4,43,27,55,19,32,23,14,2,64,38,61,21,38,24,40,15,26,11,21,6
Andreas Seppi,21,15,22,2,129,81,130,45,81,47,85,35,48,23,45,15,47,31,50,12,57,36,65,23,25,18,15,5,31,17,38,9,52,36,54,19,39,27,33,12,7,3,5,2,50,29,44,13,43,23,40,16,15,6,15,10,44,26,37,12,26,13,21,6,59,33,46,19,33,22,27,7,26,17,19,7
Kevin Anderson,53,30,54,16,140,93,140,57,93,63,83,32,47,28,57,24,63,44,51,15,58,37,66,22,19,11,24,6,44,29,36,12,54,29,60,16,32,17,39,11,8,4,6,3,44,27,56,17,43,25,44,12,19,12,14,4,42,27,49,22,30,19,22,4,54,38,78,23,38,28,54,18,16,11,24,4
Gilles Simon,102,59,104,34,387,240,390,163,240,149,227,96,148,88,163,65,148,82,131,48,180,112,194,74,60,41,65,32,82,53,83,33,177,110,169,78,108,60,107,49,19,11,32,14,139,89,123,38,127,89,137,43,59,28,67,29,139,77,130,51,66,46,80,41,201,128,156,58,128,81,98,36,73,46,58,27
Alex Bogomolov Jr.,20,14,19,4,108,74,106,35,74,48,71,29,34,14,35,7,48,30,42,12,40,23,57,28,20,11,7,1,30,19,30,8,41,21,41,12,28,17,34,12,9,7,1,1,32,20,37,11,37,22,34,12,18,13,12,3,34,19,33,17,28,16,21,3,65,47,61,19,47,23,42,18,17,10,19,11
Gael Monfils,41,22,39,16,264,163,262,122,163,115,140,53,101,63,122,53,115,67,87,31,111,74,122,52,38,21,53,24,67,47,56,30,122,67,101,41,58,33,81,23,17,11,24,7,87,54,90,46,88,52,99,35,36,23,40,19,85,52,110,46,59,36,56,20,136,81,162,67,81,49,95,42,55,35,67,29
Lukasz Kubot,44,28,46,25,185,104,185,70,104,53,115,39,81,49,70,32,53,24,76,22,100,57,77,30,32,25,32,8,24,17,54,16,86,52,69,28,68,42,54,19,7,4,8,6,59,42,57,21,76,47,63,21,30,19,21,9,64,36,63,23,48,26,33,14,89,62,69,26,62,41,43,15,27,14,26,14
Feliciano Lopez,84,46,79,25,218,140,223,73,140,97,150,54,78,46,73,33,97,63,96,37,89,52,94,26,32,20,33,13,63,43,59,17,86,61,105,36,57,41,46,12,12,7,13,5,81,47,86,24,66,44,70,18,23,15,20,7,78,57,76,22,37,25,31,13,87,52,66,14,52,39,52,17,35,28,14,5
Karol Beck,4,1,5,1,39,28,39,10,28,13,29,11,11,5,10,5,13,6,18,8,20,15,16,5,6,4,5,0,6,2,10,3,22,10,19,1,9,6,10,5,2,1,0,0,14,5,21,7,18,11,6,1,4,3,5,0,20,11,12,3,10,5,6,1,32,16,17,5,16,6,12,5,16,8,5,1
Fernando Gonzalez,0,0,0,0,14,11,14,3,11,8,11,3,3,2,3,0,8,7,8,0,5,2,6,2,1,0,0,0,7,5,8,1,3,2,4,1,3,1,2,1,1,1,0,0,4,2,4,0,2,1,2,0,3,1,1,0,3,2,2,1,2,1,1,0,3,1,3,1,1,1,2,0,2,1,1,0
Mikhail Youzhny,21,12,21,8,241,149,236,87,149,80,149,58,92,55,87,32,80,53,91,35,124,92,113,42,37,24,32,14,53,36,56,20,119,76,106,34,56,29,60,20,13,9,14,10,93,56,92,34,72,46,74,31,36,20,24,3,83,61,77,25,46,27,52,17,88,52,105,42,52,36,63,23,36,23,42,20
Xavier Malisse,54,32,54,15,152,95,160,49,95,65,111,34,57,30,49,14,65,41,77,24,60,35,69,22,27,15,14,7,41,33,53,21,59,37,71,23,40,26,29,10,12,7,7,3,45,32,69,24,48,32,42,21,21,12,14,8,45,30,45,14,28,15,27,10,51,34,69,28,34,22,41,17,17,9,28,7
Caroline Wozniacki,48,30,47,18,287,168,281,131,168,95,150,67,119,77,131,72,96,52,83,41,149,93,126,60,42,27,72,34,51,34,42,23,138,88,107,67,83,48,98,49,15,10,34,19,105,60,63,36,98,68,116,51,45,29,64,30,113,66,101,48,59,32,85,41,147,85,180,86,85,51,94,44,62,34,86,42
Arantxa Parra Santonja,11,7,12,5,37,21,37,11,21,12,26,10,16,6,11,3,12,7,16,5,15,6,18,8,10,3,3,2,7,5,11,5,11,6,15,5,12,7,9,5,7,3,2,2,8,5,15,9,12,6,9,3,8,4,5,3,9,7,15,4,10,4,5,2,12,6,11,6,6,4,5,0,6,4,6,2
Mathilde Johansson,4,4,4,3,89,44,85,39,44,19,46,21,45,29,39,17,19,8,25,13,54,31,43,24,16,5,17,12,8,5,12,7,42,17,32,12,28,15,29,13,11,6,12,6,20,13,27,13,39,19,28,12,19,6,19,9,26,14,29,11,26,11,22,8,45,20,49,25,19,9,24,11,25,12,25,12
Heather Watson,7,5,7,3,104,55,102,44,55,38,58,23,49,29,44,13,38,26,35,16,46,23,54,27,20,10,13,4,26,12,19,9,35,19,43,18,33,11,36,14,10,4,4,3,33,16,34,17,27,13,40,19,26,14,15,9,30,17,38,17,28,17,25,10,53,22,79,40,22,14,39,21,31,15,40,14
Elena Baltacha,0,0,0,0,86,49,86,37,49,30,49,17,37,25,37,18,30,17,32,12,44,28,36,12,12,5,18,9,17,9,20,13,41,23,36,13,21,10,21,10,7,5,9,4,31,16,36,16,28,15,24,7,16,13,15,5,30,17,33,10,26,13,17,7,61,32,33,13,32,14,20,8,29,17,13,8
Mona Barthel,5,2,5,1,71,35,71,25,35,18,46,20,36,20,25,10,18,12,26,9,37,18,35,11,16,8,10,4,12,7,17,8,24,10,33,13,27,13,17,10,8,5,4,3,15,6,28,11,27,20,20,8,19,14,11,5,29,17,23,10,21,13,14,8,52,31,36,13,31,16,23,10,21,12,13,3
Anna Chakvetadze,0,0,0,0,15,6,15,4,6,4,11,3,9,3,4,1,4,1,8,3,5,0,6,4,6,3,1,0,1,1,5,0,3,2,5,1,8,4,5,0,3,3,0,0,2,0,4,2,5,0,6,1,7,3,0,0,2,1,7,2,8,5,1,0,11,7,5,3,7,3,2,0,4,1,3,1
Maria Sharapova,33,23,31,13,415,257,422,213,257,160,209,98,158,86,213,104,160,105,111,51,183,112,207,109,72,38,104,46,105,67,60,35,167,98,149,71,109,64,167,76,34,21,46,26,136,84,113,56,133,76,162,83,66,42,96,57,128,75,135,74,99,57,122,62,217,138,264,140,138,77,124,67,79,46,140,77
Na Li,24,12,23,14,300,175,298,142,175,114,156,62,125,78,142,66,115,75,94,42,138,82,138,68,47,32,65,35,75,46,52,20,122,81,112,48,88,49,98,49,15,8,35,15,110,71,84,39,90,54,97,51,47,33,69,29,93,48,85,40,69,39,91,48,173,104,150,74,104,55,76,38,69,40,74,45
Alla Kudryavtseva,6,3,6,2,31,15,31,15,15,10,16,6,16,7,15,7,10,6,10,6,12,4,14,7,9,6,7,4,6,5,4,2,8,5,13,3,14,6,10,4,3,1,4,4,6,5,12,4,10,5,9,3,8,3,4,2,6,4,10,3,7,3,5,3,9,4,12,5,4,2,7,2,5,2,5,0
Ana Ivanovic,23,12,24,4,222,128,217,101,128,72,116,51,94,64,101,47,72,40,65,33,120,78,105,47,30,18,47,28,40,23,32,15,110,60,91,44,60,34,66,31,12,8,28,18,77,51,62,27,84,46,79,41,34,21,41,19,72,44,65,24,59,36,63,31,110,74,101,40,74,44,61,26,36,16,40,21
