name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Iga Swiatek,0,0,0,0,0,79,33,61,30,0,0,0,0,0,0,Victoria Azarenka,0,0,0,0,0,61,31,79,46,4,0,0,0,0,0,0,1,0
Bianca Andreescu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petra Martic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aryna Sabalenka,0,0,0,0,0,94,49,99,43,5,105,68,97,53,9,Jessica Pegula,0,0,0,0,0,99,56,94,45,5,97,44,105,37,2,0,1,2
Amanda Anisimova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danielle Collins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ons Jabeur,0,0,0,0,0,82,44,86,45,2,61,33,61,36,3,Yulia Putintseva,0,0,0,0,0,86,41,82,38,1,61,25,61,28,0,0,1,1
Maria Sakkari,0,0,0,0,0,118,67,111,48,5,68,35,87,37,4,Cori Gauff,0,0,0,0,0,111,63,118,51,7,87,50,68,33,3,0,2,1
Jil Teichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elena Rybakina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daria Kasatkina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paula Badosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iga Swiatek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Qinwen Zheng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Pegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Irina Camelia Begu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronika Kudermetova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Madison Keys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daria Kasatkina,0,0,0,0,0,81,54,82,38,3,0,0,0,0,0,Camila Giorgi,0,0,0,0,0,82,44,81,27,2,0,0,0,0,0,0,1,0
Martina Trevisan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aliaksandra Sasnovich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leylah Fernandez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amanda Anisimova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cori Gauff,104,54,85,36,8,0,0,0,0,0,0,0,0,0,0,Elise Mertens,85,49,104,50,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Sloane Stephens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jil Teichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iga Swiatek,0,0,0,0,0,90,49,117,51,2,0,0,0,0,0,Jessica Pegula,0,0,0,0,0,117,66,90,41,6,0,0,0,0,0,0,1,0
Daria Kasatkina,0,0,0,0,0,74,50,70,32,2,0,0,0,0,0,Veronika Kudermetova,0,0,0,0,0,70,38,74,24,3,0,0,0,0,0,0,1,0
Martina Trevisan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leylah Fernandez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cori Gauff,0,0,0,0,0,50,30,49,10,5,0,0,0,0,0,Sloane Stephens,0,0,0,0,0,49,39,50,20,0,0,0,0,0,0,0,1,0
Iga Swiatek,69,29,72,28,2,0,0,0,0,0,0,0,0,0,0,Daria Kasatkina,72,44,69,40,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Cori Gauff,0,0,0,0,0,0,0,0,0,0,96,46,90,43,3,Martina Trevisan,0,0,0,0,0,0,0,0,0,0,90,47,96,50,0,0,0,1
Iga Swiatek,0,0,0,0,0,0,0,0,0,0,74,49,72,30,1,Cori Gauff,0,0,0,0,0,0,0,0,0,0,72,42,74,25,7,0,0,1
Ajla Tomljanovic,88,49,90,38,1,173,100,169,73,3,0,0,0,0,0,Alize Cornet,90,52,88,39,4,169,96,173,73,7,0,0,0,0,0,1,2,0
Elena Rybakina,0,0,0,0,0,99,60,97,39,6,0,0,0,0,0,Petra Martic,0,0,0,0,0,97,58,99,39,2,0,0,0,0,0,0,1,0
Simona Halep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paula Badosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanda Anisimova,0,0,0,0,0,0,0,0,0,0,47,32,53,29,0,Harmony Tan,0,0,0,0,0,0,0,0,0,0,53,24,47,15,2,0,0,1
Marie Bouzkova,43,27,54,32,2,0,0,0,0,0,0,0,0,0,0,Caroline Garcia,54,22,43,16,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Ons Jabeur,0,0,0,0,0,71,35,65,26,2,0,0,0,0,0,Elise Mertens,0,0,0,0,0,65,39,71,36,5,0,0,0,0,0,0,1,0
Tatjana Maria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jelena Ostapenko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jule Niemeier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heather Watson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elena Rybakina,0,0,0,0,0,0,0,0,0,0,53,33,45,25,2,Ajla Tomljanovic,0,0,0,0,0,0,0,0,0,0,45,20,53,20,0,0,0,1
Simona Halep,0,0,0,0,0,0,0,0,0,0,98,58,116,54,4,Amanda Anisimova,0,0,0,0,0,0,0,0,0,0,116,62,98,40,2,0,0,2
Ons Jabeur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marie Bouzkova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tatjana Maria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jule Niemeier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elena Rybakina,0,0,0,0,0,249,137,243,105,18,0,0,0,0,0,Simona Halep,0,0,0,0,0,243,138,249,112,4,0,0,0,0,0,0,3,0
Ons Jabeur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tatjana Maria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elena Rybakina,0,0,0,0,0,251,149,223,86,4,0,0,0,0,0,Ons Jabeur,0,0,0,0,0,223,137,251,102,9,0,0,0,0,0,0,3,0
Simona Halep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beatriz Haddad Maia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beatriz Haddad Maia,0,0,0,0,0,79,40,83,47,2,0,0,0,0,0,Karolina Pliskova,0,0,0,0,0,83,36,79,39,5,0,0,0,0,0,0,1,0
Simona Halep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jessica Pegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Beatriz Haddad Maia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belinda Bencic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karolina Pliskova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Qinwen Zheng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Pegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yulia Putintseva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simona Halep,58,36,61,32,2,0,0,0,0,0,0,0,0,0,0,Cori Gauff,61,29,58,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Beatriz Haddad Maia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iga Swiatek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belinda Bencic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garbine Muguruza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karolina Pliskova,0,0,0,0,0,64,39,49,8,6,62,41,63,27,2,Maria Sakkari,0,0,0,0,0,49,41,64,25,4,63,36,62,21,2,0,1,1
Qinwen Zheng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bianca Andreescu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Pegula,0,0,0,0,0,96,66,103,53,5,0,0,0,0,0,Camila Giorgi,0,0,0,0,0,103,50,96,30,3,0,0,0,0,0,0,3,0
Yulia Putintseva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alison Riske Amritraj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cori Gauff,0,0,0,0,0,193,108,200,88,6,59,41,72,31,1,Aryna Sabalenka,0,0,0,0,0,200,112,193,85,10,72,41,59,18,4,0,2,1
Simona Halep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jil Teichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caroline Garcia,0,0,0,0,0,64,36,50,13,0,60,33,47,10,2,Petra Kvitova,0,0,0,0,0,50,37,64,28,3,47,37,60,27,5,0,1,1
Petra Kvitova,0,0,0,0,0,159,92,155,64,11,0,0,0,0,0,Madison Keys,0,0,0,0,0,155,91,159,67,11,0,0,0,0,0,0,2,0
Caroline Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aryna Sabalenka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Keys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elena Rybakina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petra Kvitova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ajla Tomljanovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caroline Garcia,59,30,44,12,7,0,0,0,0,0,0,0,0,0,0,Jessica Pegula,44,32,59,29,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Aryna Sabalenka,0,0,0,0,0,0,0,0,0,0,50,37,56,27,3,Shuai Zhang,0,0,0,0,0,0,0,0,0,0,56,29,50,13,1,0,0,1
Madison Keys,0,0,0,0,0,0,0,0,0,0,68,34,56,19,6,Iga Swiatek,0,0,0,0,0,0,0,0,0,0,56,37,68,34,1,0,0,1
Elena Rybakina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alison Riske Amritraj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajla Tomljanovic,0,0,0,0,0,163,93,187,71,8,0,0,0,0,0,Veronika Kudermetova,0,0,0,0,0,187,116,163,70,13,0,0,0,0,0,0,2,0
Petra Kvitova,47,31,58,29,0,123,72,143,73,3,0,0,0,0,0,Ons Jabeur,58,29,47,16,3,143,70,123,51,6,0,0,0,0,0,1,2,0
Jessica Pegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Emma Raducanu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caroline Garcia,0,0,0,0,0,166,93,188,75,6,99,56,74,28,6,Elise Mertens,0,0,0,0,0,188,113,166,73,16,74,46,99,43,2,0,3,1
Aryna Sabalenka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shelby Rogers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
