name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Novak Djokovic,586,410,635,241,35,4484,3115,4785,1967,411,2625,1757,2868,1277,121,Casper Ruud,196,135,193,53,13,2431,1572,2357,771,152,3303,2159,3361,1338,174,0,0,0
Stefanos Tsitsipas,335,215,393,135,34,7800,5400,7929,2724,776,3712,2434,3615,1430,230,Alexander Zverev,546,378,567,193,70,6664,4548,7170,2674,968,2627,1640,2823,1171,238,0,0,0
Novak Djokovic,926,646,977,377,57,6258,4322,6711,2775,591,3259,2137,3411,1492,171,Felix Auger Aliassime,1264,870,1254,421,179,4535,2899,4685,1699,500,2005,1243,1928,715,137,0,0,0
Casper Ruud,173,118,163,54,10,3015,1922,2850,965,196,3268,2151,3333,1345,153,Denis Shapovalov,612,404,624,212,60,4827,3179,4750,1665,533,1833,1124,1895,752,104,0,0,0
Stefanos Tsitsipas,166,109,182,55,21,5804,4020,6057,2194,586,2879,1877,2780,1071,176,Jannik Sinner,190,108,205,77,3,4593,2943,4699,1778,268,1533,931,1488,623,54,0,0,0
Alexander Zverev,421,270,419,158,43,6310,4248,6747,2526,848,1666,1089,1865,792,150,Cristian Garin,441,255,370,122,20,2109,1281,2025,637,116,3288,1988,3336,1362,126,0,0,0
Novak Djokovic,689,470,679,265,43,4224,2915,4372,1773,367,1749,1106,1877,815,79,Stan Wawrinka,55,43,50,17,7,3538,2353,3561,1240,401,1093,695,1043,376,84,0,0,0
Felix Auger Aliassime,1229,839,1276,433,166,2963,1938,3052,1072,361,1150,681,1114,423,86,Marcos Giron,368,245,304,77,23,2294,1415,2158,709,142,505,278,418,138,21,0,0,0
Denis Shapovalov,759,514,775,283,92,5572,3729,5645,2005,635,998,612,1039,412,64,Rafael Nadal,270,187,272,109,26,3592,2503,3713,1455,283,3027,1982,3063,1408,97,0,0,0
Casper Ruud,155,103,157,52,10,952,591,931,312,71,646,407,673,272,27,Jenson Brooksby,80,53,74,30,2,902,542,925,385,25,0,0,0,0,0,0,0,0
Jannik Sinner,132,73,139,55,2,3317,2141,3451,1344,184,1445,866,1423,571,48,Filip Krajinovic,0,0,0,0,0,2789,1737,2733,1017,144,1308,831,1308,502,61,0,0,0
Stefanos Tsitsipas,247,157,314,113,28,7269,5071,7552,2621,750,3869,2582,3799,1491,229,Karen Khachanov,1097,717,1035,335,101,6117,3991,6440,2337,537,1652,980,1573,559,74,0,0,0
Cristian Garin,414,249,371,132,29,2013,1249,1959,625,113,3164,1891,3126,1252,126,Marin Cilic,700,468,724,269,87,3857,2501,3826,1335,462,1425,896,1298,459,127,0,0,0
Alexander Zverev,500,369,571,206,85,5833,3900,6148,2314,807,2906,1832,3139,1287,260,Alex De Minaur,645,431,639,227,30,4985,3153,5257,2037,244,981,549,975,380,19,0,0,0
Novak Djokovic,954,685,1038,432,86,5554,3848,6026,2490,537,2865,1862,2890,1281,156,Diego Schwartzman,607,407,689,271,10,4189,2526,4246,1750,97,2759,1582,2774,1237,34,0,0,0
Rafael Nadal,477,342,486,186,46,3427,2420,3695,1460,282,2371,1557,2322,1073,79,Felix Auger Aliassime,989,686,1017,325,158,4056,2627,4095,1410,516,1335,832,1258,472,98,0,0,0
Alexander Zverev,168,107,153,52,9,787,551,864,369,117,944,590,989,428,99,Bernabe Zapata Miralles,166,102,156,49,4,326,191,306,107,4,413,221,401,170,6,0,0,0
Carlos Alcaraz,82,41,64,16,2,1442,910,1474,579,54,761,458,779,328,26,Karen Khachanov,764,505,769,263,80,2923,1871,3044,1112,244,685,418,659,246,31,0,0,0
Casper Ruud,196,135,193,53,13,2757,1762,2672,909,162,2898,1892,2999,1174,139,Hubert Hurkacz,951,642,991,337,83,4707,3051,4535,1577,547,1228,773,1159,399,89,0,0,0
Holger Rune,0,0,0,0,0,331,209,343,110,17,319,173,356,134,11,Stefanos Tsitsipas,0,0,0,0,0,809,564,906,360,82,744,454,654,235,42,0,0,0
Andrey Rublev,469,329,511,184,45,5188,3424,5513,2139,504,1269,808,1319,535,73,Jannik Sinner,132,73,139,55,2,4813,3095,4886,1873,299,1455,886,1433,599,51,0,0,0
Marin Cilic,653,440,632,222,84,4972,3194,4955,1782,586,1412,883,1292,448,122,Daniil Medvedev,947,650,1071,434,109,6115,4140,6442,2559,784,1204,746,1311,545,69,0,0,0
Rafael Nadal,282,200,289,113,31,3111,2179,3242,1297,240,2521,1667,2486,1141,83,Novak Djokovic,651,436,647,241,35,5331,3651,5667,2301,505,2148,1420,2271,986,93,0,0,0
Alexander Zverev,274,170,242,84,23,3220,2162,3405,1293,451,1433,900,1525,592,120,Carlos Alcaraz,82,41,64,16,2,1405,907,1485,586,62,772,458,788,328,21,0,0,0
Casper Ruud,0,0,0,0,0,318,218,331,122,27,907,590,933,371,51,Holger Rune,0,0,0,0,0,331,209,343,110,17,552,334,544,211,22,0,0,0
Marin Cilic,741,509,789,311,109,5007,3228,4954,1758,601,1294,817,1203,421,121,Andrey Rublev,512,356,598,238,55,5583,3731,5921,2329,593,2247,1448,2322,932,139,0,0,0
Rafael Nadal,334,237,330,112,30,3727,2616,3947,1551,282,3253,2125,3327,1545,110,Alexander Zverev,391,264,386,134,42,6788,4567,7288,2737,966,2360,1507,2548,1032,225,0,0,0
Casper Ruud,146,95,142,35,9,2689,1720,2646,930,178,2975,1928,3101,1219,141,Marin Cilic,950,638,965,361,132,3447,2237,3387,1212,423,1340,837,1299,474,119,0,0,0
Rafael Nadal,385,277,394,145,36,3795,2654,4034,1595,295,2860,1847,2909,1347,94,Casper Ruud,212,134,205,66,12,2619,1659,2455,805,187,2743,1796,2730,1047,144,0,0,0
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Van Rijthoven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jannik Sinner,132,73,139,55,2,1775,1139,1849,734,124,1230,737,1254,516,31,Carlos Alcaraz,82,41,64,16,2,1303,810,1306,492,43,685,402,733,318,13,0,0,0
David Goffin,488,313,547,233,40,3332,2003,3271,1247,235,1082,622,1159,449,50,Frances Tiafoe,392,274,417,154,38,4657,2931,4493,1626,325,819,498,783,284,38,0,0,0
Cameron Norrie,426,292,440,168,36,3139,1999,3225,1206,232,1119,695,1107,429,49,Tommy Paul,72,45,79,26,3,3370,2083,3402,1258,192,953,571,951,319,44,0,0,0
Cristian Garin,171,104,162,51,14,1963,1253,1942,637,110,3063,1906,3081,1233,129,Alex De Minaur,657,436,622,230,24,4391,2865,4615,1766,211,1105,622,1082,432,33,0,0,0
Nick Kyrgios,165,99,146,52,23,592,407,553,157,126,0,0,0,0,0,Brandon Nakashima,0,0,0,0,0,985,649,982,326,91,0,0,0,0,0,0,0,0
Taylor Fritz,0,0,0,0,0,151,109,142,50,7,228,138,218,78,12,Jason Kubler,0,0,0,0,0,83,54,78,27,3,0,0,0,0,0,0,0,0
Rafael Nadal,0,0,0,0,0,1065,732,1124,455,64,732,477,701,313,29,Botic Van De Zandschulp,99,66,104,28,7,894,578,898,314,64,0,0,0,0,0,0,0,0
Novak Djokovic,758,546,817,341,73,4324,2979,4490,1796,403,2512,1612,2601,1171,109,Jannik Sinner,226,129,218,81,10,4043,2598,4157,1597,250,1410,848,1423,606,39,0,0,0
Cameron Norrie,442,283,379,103,26,3956,2492,4078,1572,287,1147,695,1178,457,46,David Goffin,791,503,853,345,66,3876,2375,3867,1504,254,951,559,1097,446,46,0,0,0
Nick Kyrgios,350,250,389,120,65,2398,1655,2279,618,458,219,145,213,59,35,Cristian Garin,278,166,224,72,15,1317,873,1238,359,79,2574,1554,2476,934,103,0,0,0
Rafael Nadal,343,248,365,149,36,3012,2095,3176,1247,256,3020,1957,3027,1392,95,Taylor Fritz,565,383,546,160,76,4952,3239,4807,1587,590,1060,668,1114,404,113,0,0,0
Novak Djokovic,1030,730,1101,445,85,6178,4310,6639,2709,580,2929,1911,3143,1381,146,Cameron Norrie,857,558,780,249,52,4131,2595,4231,1631,289,1405,839,1375,544,61,0,0,0
Nick Kyrgios,361,233,341,101,52,1846,1283,1766,489,354,148,101,140,38,24,Rafael Nadal,127,82,116,35,10,1816,1255,1863,678,114,1304,863,1300,579,34,0,0,0
Novak Djokovic,670,468,725,284,48,4217,2911,4533,1805,402,2023,1297,2009,829,91,Nick Kyrgios,380,265,411,128,67,2703,1884,2601,708,513,219,145,213,59,35,0,0,0
Pablo Carreno Busta,274,162,221,59,7,3166,2057,3151,1126,174,1500,957,1683,682,68,Hubert Hurkacz,668,451,693,228,56,4383,2807,4295,1492,478,757,485,696,245,62,0,0,0
Hubert Hurkacz,951,642,991,337,83,4707,3051,4535,1577,547,1228,773,1159,399,89,Casper Ruud,196,135,193,53,13,2757,1762,2672,909,162,2898,1892,2999,1174,139,0,0,0
Pablo Carreno Busta,367,233,337,100,25,3513,2239,3508,1222,186,1779,1107,1933,764,78,Daniel Evans,638,435,684,280,30,3793,2410,3832,1416,169,1064,647,1035,418,29,0,0,0
Hubert Hurkacz,684,467,684,231,50,2608,1672,2496,810,288,399,254,367,127,36,Nick Kyrgios,196,134,195,49,29,2175,1524,2127,610,431,74,56,85,30,15,0,0,0
Casper Ruud,262,182,257,75,17,3181,2105,3096,1051,223,3677,2400,3664,1420,194,Felix Auger Aliassime,1468,1031,1512,519,222,4642,3033,4752,1666,572,1961,1237,1906,709,151,0,0,0
Pablo Carreno Busta,0,0,0,0,0,404,277,409,129,20,112,65,131,48,3,Jack Draper,258,171,250,76,23,43,24,53,22,3,0,0,0,0,0,0,0,0
Daniel Evans,560,384,585,221,25,3422,2159,3378,1225,150,822,475,761,295,16,Tommy Paul,0,0,0,0,0,3061,1898,3048,1131,161,657,379,621,210,26,0,0,0
Nick Kyrgios,581,394,577,177,112,2760,1926,2632,761,544,219,145,213,59,35,Alex De Minaur,604,408,629,219,23,2677,1758,2780,997,122,267,158,261,95,9,0,0,0
Hubert Hurkacz,1048,720,1081,386,97,4049,2636,4007,1390,453,498,321,448,155,40,Albert Ramos,89,51,83,21,3,2432,1478,2436,818,104,2354,1457,2311,907,55,0,0,0
Casper Ruud,262,182,257,75,17,3069,1978,2974,1020,210,3217,2125,3330,1292,166,Roberto Bautista Agut,946,606,1010,393,33,5104,3321,5347,2060,231,1925,1155,1909,773,46,0,0,0
Felix Auger Aliassime,1530,1057,1571,539,233,4997,3249,5174,1828,593,1474,904,1426,528,95,Cameron Norrie,632,408,620,213,40,4226,2636,4325,1675,276,1457,903,1418,547,67,0,0,0
Pablo Carreno Busta,207,120,154,41,6,3555,2281,3537,1232,173,2015,1287,2170,839,91,Jannik Sinner,132,73,139,55,2,3841,2498,3955,1564,224,1729,1046,1714,692,58,0,0,0
Jack Draper,317,205,314,97,27,43,24,53,22,3,0,0,0,0,0,Gael Monfils,0,0,0,0,0,680,417,646,224,84,156,84,115,46,5,0,0,0
Daniel Evans,562,374,592,225,30,5076,3186,4989,1794,260,1131,666,1070,425,36,Taylor Fritz,903,609,840,254,103,6030,4014,5968,1994,744,1246,766,1317,522,121,0,0,0
Tommy Paul,0,0,0,0,0,2768,1707,2773,1070,163,953,571,951,319,44,Marin Cilic,386,263,437,181,62,3216,2077,3186,1081,389,978,630,914,297,85,0,0,0
