surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Clay,Milos Raonic,1309,874,1290,445,173,Marcel Granollers,1396,835,1427,557,49,36
Clay,Novak Djokovic,1923,1235,1986,849,89,Jo-Wilfried Tsonga,1557,975,1593,603,102,45
Clay,Rafael Nadal,3611,2412,3833,1754,133,David Ferrer,3300,2184,3309,1471,119,105
Clay,Andy Murray,1362,826,1429,612,87,Gael Monfils,851,524,899,339,63,26
Clay,Ernests Gulbis,972,608,954,374,68,Tomas Berdych,861,572,859,343,49,27
Clay,Novak Djokovic,1697,1063,1697,693,61,Milos Raonic,988,641,968,294,144,33
Clay,Rafael Nadal,2232,1456,2293,1073,71,Andy Murray,1718,1045,1749,733,93,56
Clay,Novak Djokovic,1561,999,1643,696,75,Ernests Gulbis,1053,633,957,334,86,36
Clay,Rafael Nadal,2498,1660,2651,1266,79,Novak Djokovic,2163,1451,2227,942,121,71
Grass,Novak Djokovic,633,424,678,256,60,Jo-Wilfried Tsonga,729,484,654,200,101,15
Grass,Marin Cilic,0,0,0,0,0,Jeremy Chardy,0,0,0,0,0,0
Grass,Andy Murray,444,318,450,176,52,Kevin Anderson,268,186,302,88,50,9
Grass,Grigor Dimitrov,58,34,52,14,3,Leonardo Mayer,51,29,53,14,2,2
Grass,Stan Wawrinka,159,99,125,37,15,Feliciano Lopez,177,118,161,44,22,4
Grass,Roger Federer,209,131,244,88,21,Tommy Robredo,100,59,80,20,6,3
Grass,Milos Raonic,350,246,355,102,73,Kei Nishikori,208,135,216,86,5,6
Grass,Nick Kyrgios,0,0,0,0,0,Rafael Nadal,0,0,0,0,0,0
Grass,Novak Djokovic,466,303,501,185,49,Marin Cilic,516,339,516,173,52,12
Grass,Grigor Dimitrov,373,224,366,129,19,Andy Murray,722,495,859,340,71,12
Grass,Roger Federer,209,131,244,88,21,Stan Wawrinka,182,105,157,52,17,8
Grass,Milos Raonic,0,0,0,0,0,Nick Kyrgios,0,0,0,0,0,0
Grass,Novak Djokovic,544,393,608,249,54,Grigor Dimitrov,675,433,655,232,51,13
Grass,Roger Federer,137,104,145,42,17,Milos Raonic,167,130,191,50,23,2
Grass,Novak Djokovic,1064,731,1204,483,104,Roger Federer,801,559,879,303,107,22
Hard,Jo-Wilfried Tsonga,6513,4429,6436,2277,824,Novak Djokovic,8427,5734,8827,3802,623,204
Hard,Andy Murray,6425,4200,6716,2864,565,Richard Gasquet,5824,3793,5926,2214,446,170
Hard,Kevin Anderson,4257,2859,4343,1472,592,Stan Wawrinka,4884,3137,4960,1871,406,114
Hard,Grigor Dimitrov,1542,930,1484,529,153,Tommy Robredo,1353,817,1287,449,67,37
Hard,Milos Raonic,5749,4102,5921,1954,1194,Julien Benneteau,4664,2907,4713,1769,376,141
Hard,Feliciano Lopez,4950,3159,4741,1540,594,Tomas Berdych,6897,4550,6942,2586,686,158
Hard,David Ferrer,6398,4090,6639,2734,283,Ivan Dodig,4688,2917,4567,1607,502,146
Hard,Roger Federer,5961,4095,6177,2353,533,Marin Cilic,3801,2475,3902,1452,361,129
Hard,Jo-Wilfried Tsonga,6356,4256,6174,2122,773,Andy Murray,6489,4224,6801,2912,561,169
Hard,Grigor Dimitrov,3723,2435,3666,1263,390,Kevin Anderson,4317,2857,4270,1420,612,107
Hard,Feliciano Lopez,4853,3127,4729,1538,615,Milos Raonic,5206,3733,5445,1760,1005,137
Hard,Roger Federer,7677,5336,8178,3171,702,David Ferrer,6890,4384,7003,2847,303,203
Hard,Jo-Wilfried Tsonga,5304,3526,5338,1828,648,Grigor Dimitrov,3635,2318,3534,1229,345,120
Hard,Roger Federer,6389,4398,6679,2521,584,Feliciano Lopez,4265,2739,4121,1320,519,142
Hard,Jo-Wilfried Tsonga,5975,4045,5831,2065,754,Roger Federer,6520,4504,6869,2658,605,173
Hard,Tommy Robredo,1751,1072,1661,588,91,Novak Djokovic,4838,3251,5179,2176,361,86
Hard,David Ferrer,5928,3775,6096,2457,303,Mikhail Youzhny,4462,2855,4401,1676,272,139
Hard,Stan Wawrinka,3725,2405,3766,1398,286,Marin Cilic,2709,1735,2846,1036,251,77
Hard,Julien Benneteau,1714,1061,1674,624,120,Jerzy Janowicz,1225,830,1309,441,182,39
Hard,Milos Raonic,1363,965,1422,508,288,Steve Johnson,1276,813,1159,328,128,31
Hard,Fabio Fognini,1568,887,1469,550,68,Yen Hsun Lu,1447,889,1430,501,66,43
Hard,Andy Murray,6473,4152,6677,2836,560,John Isner,5696,3966,5614,1678,1053,153
Hard,Roger Federer,6704,4642,7042,2700,631,Gael Monfils,4662,2958,4768,1794,440,147
Hard,David Ferrer,2707,1751,2800,1167,120,Tommy Robredo,1822,1106,1765,615,99,64
Hard,Julien Benneteau,3855,2387,3797,1383,295,Stan Wawrinka,4954,3213,5034,1884,472,109
Hard,Milos Raonic,3449,2445,3419,1101,696,Fabio Fognini,2471,1397,2280,843,91,78
