surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Clay,Carla Suarez Navarro,156,74,151,73,3,Simona Halep,90,41,122,45,2,6
Clay,Ana Ivanovic,55,33,49,30,3,Maria Sharapova,76,46,104,45,4,3
Clay,Jelena Jankovic,187,108,190,93,5,Flavia Pennetta,165,95,175,83,4,8
Clay,Agnieszka Radwanska,76,36,86,38,1,Francesca Schiavone,69,43,54,26,1,2
Clay,Sara Errani,0,0,0,0,0,Petra Cetkovska,78,37,93,43,1,2
Clay,Na Li,183,99,165,72,4,Samantha Stosur,242,142,243,97,5,5
Clay,Serena Williams,0,0,0,0,0,Shuai Zhang,0,0,0,0,0,0
Clay,Ana Ivanovic,66,38,49,26,1,Carla Suarez Navarro,143,84,131,70,1,4
Clay,Jelena Jankovic,159,82,141,72,3,Agnieszka Radwanska,127,66,152,74,1,4
Clay,Sara Errani,72,33,80,32,0,Na Li,314,175,257,110,10,7
Clay,Serena Williams,155,104,183,93,15,Ana Ivanovic,252,132,245,108,14,6
Clay,Sara Errani,354,197,314,145,1,Jelena Jankovic,525,298,510,244,17,17
Clay,Serena Williams,451,313,525,284,50,Sara Errani,219,116,228,108,1,20
Hard,Petra Cetkovska,98,53,70,31,8,Na Li,45,32,57,31,4,2
Hard,Angelique Kerber,982,547,1004,463,37,Klara Koukalova,0,0,0,0,0,27
Hard,Petra Kvitova,828,499,835,380,37,Lucie Safarova,694,401,737,284,33,28
Hard,Jelena Jankovic,100,57,86,40,4,Alisa Kleybanova,137,71,123,52,11,4
Hard,Simona Halep,538,300,495,252,15,Annika Beck,422,193,419,175,4,15
Hard,Sara Errani,431,225,427,211,0,Monica Niculescu,450,257,506,236,6,17
Hard,Yanina Wickmayer,173,104,166,74,0,Jana Cepelova,166,84,143,49,0,4
Hard,Agnieszka Radwanska,109,72,137,69,6,Mirjana Lucic,0,0,0,0,0,3
Hard,Angelique Kerber,64,38,76,40,2,Petra Cetkovska,60,31,45,12,0,2
Hard,Jelena Jankovic,1009,551,1023,450,23,Petra Kvitova,1200,670,1220,568,56,31
Hard,Simona Halep,575,333,566,284,24,Sara Errani,914,459,957,462,2,26
Hard,Agnieszka Radwanska,710,414,682,297,27,Yanina Wickmayer,585,320,564,232,15,21
Hard,Angelique Kerber,1466,833,1485,648,51,Jelena Jankovic,1637,924,1588,725,51,44
Hard,Simona Halep,1154,648,1177,572,40,Agnieszka Radwanska,1599,925,1562,714,63,49
Hard,Simona Halep,924,534,957,472,36,Angelique Kerber,1587,906,1566,671,52,41
Hard,Serena Williams,570,361,558,280,53,Flavia Pennetta,528,269,542,245,18,20
Hard,Jelena Jankovic,720,358,760,350,22,Sloane Stephens,797,451,848,359,15,21
Hard,Agnieszka Radwanska,809,467,842,399,18,Sabine Lisicki,879,496,883,366,64,28
Hard,Caroline Wozniacki,1148,668,1076,492,24,Angelique Kerber,916,529,952,400,25,30
Hard,Ana Ivanovic,840,481,845,387,33,Svetlana Kuznetsova,812,437,888,388,50,26
Hard,Elina Svitolina,112,52,121,48,2,Carla Suarez Navarro,420,208,423,202,4,8
Hard,Maria Sharapova,421,260,496,231,32,Anastasia Pavlyuchenkova,374,224,362,139,11,15
Hard,Simona Halep,447,282,507,243,15,Lucie Safarova,510,291,508,197,19,17
Hard,Serena Williams,1402,891,1276,607,129,Jelena Jankovic,1112,592,1065,505,28,40
Hard,Caroline Wozniacki,980,565,944,429,20,Agnieszka Radwanska,1061,610,1072,451,33,34
Hard,Ana Ivanovic,742,415,784,358,40,Elina Svitolina,422,234,442,189,14,21
Hard,Maria Sharapova,730,445,791,362,51,Simona Halep,656,349,699,313,18,25
Hard,Serena Williams,1381,901,1395,670,150,Caroline Wozniacki,1453,824,1378,640,24,47
Hard,Ana Ivanovic,407,239,374,169,14,Maria Sharapova,455,271,465,234,35,17
Hard,Serena Williams,1805,1148,1738,852,186,Ana Ivanovic,1427,785,1440,656,66,52
Hard,Ana Ivanovic,1427,785,1440,656,66,Serena Williams,1805,1148,1738,852,186,52
Hard,Eugenie Bouchard,144,94,166,76,6,Casey Dellacqua,165,87,156,61,3,6
Hard,Na Li,950,553,954,477,34,Kate Makarova,701,421,708,309,36,26
