surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Rafael Nadal,645,421,655,239,32,Stan Wawrinka,502,320,498,171,38,14
Hard,Stefanos Tsitsipas,190,119,213,67,20,Alexander Zverev,378,259,361,116,34,7
Hard,Kevin Anderson,1102,773,1134,391,207,Grigor Dimitrov,1508,991,1443,538,146,30
Hard,Karen Khachanov,779,475,768,291,99,Robin Haase,560,365,589,216,62,14
Hard,Rafael Nadal,935,641,950,363,58,Marin Cilic,875,598,898,328,131,25
Hard,Stefanos Tsitsipas,0,0,0,0,0,Kevin Anderson,0,0,0,0,0,0
Hard,Rafael Nadal,249,176,218,94,17,Karen Khachanov,466,288,462,157,52,12
Hard,Rafael Nadal,396,284,406,170,23,Stefanos Tsitsipas,455,311,472,158,60,14
Hard,Roger Federer,429,303,491,204,54,Leonardo Mayer,325,206,315,119,29,9
Hard,Stan Wawrinka,279,180,254,90,32,Marton Fucsovics,147,96,200,75,24,4
Hard,Juan Martin del Potro,1486,976,1557,526,156,Nick Kyrgios,1154,811,1185,421,206,37
Hard,David Goffin,832,542,874,363,61,Kevin Anderson,979,693,1003,343,187,25
Hard,Marin Cilic,1080,689,1109,418,141,Karen Khachanov,972,605,950,318,111,24
Hard,Pablo Carreno Busta,750,456,650,220,36,Robin Haase,649,422,655,252,78,17
Hard,Novak Djokovic,698,446,686,261,37,Grigor Dimitrov,578,395,570,209,41,15
Hard,Milos Raonic,535,367,504,165,84,Denis Shapovalov,682,434,661,231,67,16
Hard,Roger Federer,452,326,510,188,55,Stan Wawrinka,284,190,306,104,33,9
Hard,David Goffin,1763,1078,1730,654,126,Juan Martin del Potro,1718,1141,1771,625,187,43
Hard,Marin Cilic,409,256,432,176,46,Pablo Carreno Busta,489,293,395,153,28,11
Hard,Novak Djokovic,257,163,254,107,14,Milos Raonic,142,108,154,52,27,5
Hard,Roger Federer,1521,1108,1745,697,196,David Goffin,1380,917,1327,507,121,44
Hard,Novak Djokovic,337,225,328,137,24,Marin Cilic,186,125,188,67,22,7
Hard,Novak Djokovic,332,220,318,110,16,Roger Federer,484,342,548,199,48,11
Hard,Rafael Nadal,714,495,732,294,38,Nikoloz Basilashvili,647,375,550,179,29,16
Hard,Dominic Thiem,1123,719,1111,415,81,Kevin Anderson,1073,775,1161,391,194,27
Hard,Juan Martin del Potro,945,657,1029,349,99,Borna Coric,1291,827,1285,410,85,29
Hard,John Isner,905,640,845,226,203,Milos Raonic,669,465,636,220,122,22
Hard,Marin Cilic,1108,691,1068,393,140,David Goffin,1487,961,1398,525,114,32
Hard,Kei Nishikori,642,399,650,266,18,Philipp Kohlschreiber,504,336,509,181,26,15
Hard,Novak Djokovic,337,225,328,137,24,Joao Sousa,343,216,354,121,24,9
Hard,John Millman,331,206,316,113,15,Roger Federer,409,308,505,197,54,10
Hard,Rafael Nadal,1384,993,1527,632,77,Dominic Thiem,1265,796,1295,465,99,37
