name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Richard Gasquet,171,117,174,79,15,1296,840,1275,475,52,0,0,0,0,0,Mischa Zverev,433,309,457,134,57,1450,892,1406,466,89,286,200,278,90,24,0,0,0
David Goffin,0,0,0,0,0,1963,1227,2000,773,138,830,499,789,313,43,Roberto Bautista Agut,173,99,195,81,2,1188,752,1155,447,41,647,378,651,257,21,0,0,0
Grigor Dimitrov,346,226,319,129,34,1110,743,1150,406,122,88,53,87,29,4,Philipp Kohlschreiber,141,98,148,53,14,542,364,562,193,36,349,235,373,134,24,0,0,0
Dominic Thiem,314,226,395,136,36,1259,792,1252,484,87,771,475,776,322,44,Novak Djokovic,264,179,268,102,11,736,499,747,315,39,686,425,689,297,27,0,0,0
Rafael Nadal,0,0,0,0,0,886,608,872,337,48,492,341,556,289,18,Karen Khachanov,188,113,180,68,22,857,528,854,303,94,786,507,789,292,59,0,0,0
Kei Nishikori,146,92,146,50,5,828,532,858,337,26,507,319,489,197,16,Marin Cilic,452,320,476,169,78,826,510,843,314,91,313,190,344,145,31,0,0,0
Alexander Zverev,133,84,118,37,16,1414,918,1273,446,150,436,288,462,176,42,Richard Gasquet,319,213,283,112,14,888,589,921,360,46,180,115,231,102,8,0,0,0
Grigor Dimitrov,362,239,320,105,47,1718,1153,1754,643,179,251,172,246,97,23,David Goffin,0,0,0,0,0,1975,1265,1877,722,164,548,340,513,197,35,0,0,0
Rafael Nadal,0,0,0,0,0,1686,1205,1804,746,97,878,611,1053,522,34,Dominic Thiem,166,112,164,59,10,1767,1100,1805,670,140,1065,712,1105,462,59,0,0,0
Kei Nishikori,250,166,252,86,8,764,493,802,328,28,518,326,523,206,17,Alexander Zverev,203,135,211,66,30,779,533,751,265,82,568,361,600,246,45,0,0,0
Rafael Nadal,0,0,0,0,0,1603,1105,1677,665,83,1012,684,1129,538,40,Grigor Dimitrov,297,201,270,116,30,2575,1734,2601,1011,238,367,229,372,131,33,0,0,0
Rafael Nadal,356,261,419,156,34,1703,1180,1796,721,83,568,392,627,298,23,Kei Nishikori,267,176,282,98,8,1140,716,1160,449,37,791,482,772,304,26,0,0,0
