P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Joao Sousa,Dustin Brown,grass,2,2,0,15
Joao Sousa,Dustin Brown,grass,2,1,15,15
Joao Sousa,Dustin Brown,grass,2,2,15,30
Joao Sousa,Dustin Brown,grass,2,2,15,40
Joao Sousa,Dustin Brown,grass,2,2,0,0
Joao Sousa,Dustin Brown,grass,1,2,0,15
Joao Sousa,Dustin Brown,grass,1,2,0,30
Joao Sousa,Dustin Brown,grass,1,1,15,30
Joao Sousa,Dustin Brown,grass,1,2,15,40
Joao Sousa,Dustin Brown,grass,1,1,30,40
Joao Sousa,Dustin Brown,grass,1,1,40,40
Joao Sousa,Dustin Brown,grass,1,1,AD,40
Joao Sousa,Dustin Brown,grass,1,1,0,0
Joao Sousa,Dustin Brown,grass,2,2,0,15
Joao Sousa,Dustin Brown,grass,2,2,0,30
Joao Sousa,Dustin Brown,grass,2,2,0,40
Joao Sousa,Dustin Brown,grass,2,1,15,40
Joao Sousa,Dustin Brown,grass,2,2,0,0
Joao Sousa,Dustin Brown,grass,1,1,15,0
Joao Sousa,Dustin Brown,grass,1,1,30,0
Joao Sousa,Dustin Brown,grass,1,1,40,0
Joao Sousa,Dustin Brown,grass,1,1,0,0
Joao Sousa,Dustin Brown,grass,2,2,0,15
Joao Sousa,Dustin Brown,grass,2,2,0,30
Joao Sousa,Dustin Brown,grass,2,2,0,40
Joao Sousa,Dustin Brown,grass,2,2,0,0
Jiri Vesely,Illya Marchenko,grass,0,0,0,0
Jiri Vesely,Illya Marchenko,grass,2,1,15,0
Jiri Vesely,Illya Marchenko,grass,2,1,30,0
Jiri Vesely,Illya Marchenko,grass,2,2,30,15
Jiri Vesely,Illya Marchenko,grass,2,1,40,15
Jiri Vesely,Illya Marchenko,grass,2,1,0,0
Jiri Vesely,Illya Marchenko,grass,1,1,15,0
Jiri Vesely,Illya Marchenko,grass,1,2,15,15
Jiri Vesely,Illya Marchenko,grass,1,1,30,15
Jiri Vesely,Illya Marchenko,grass,1,2,30,30
Jiri Vesely,Illya Marchenko,grass,1,1,40,30
Jiri Vesely,Illya Marchenko,grass,1,1,0,0
Jiri Vesely,Illya Marchenko,grass,2,1,15,0
Jiri Vesely,Illya Marchenko,grass,2,2,15,15
Jiri Vesely,Illya Marchenko,grass,2,2,15,30
Jiri Vesely,Illya Marchenko,grass,2,2,15,40
